,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Sara Däbritz,LW,24,5,127,167,76,1952,703,5,13,38.5,107,121,88.4,15,33,45.5,1,0.7,#ERROR!,5,10,6,1,20,Matches
Sara Doorsoun,CBR,27,5,243,288,84.4,5403,1827,1,4,25,162,183,88.5,80,101,79.2,0,0,0,0,15,0,0,26,Matches
Giulia Gwinn,LR,19,5,181,238,76.1,3036,1125,3,14,21.4,156,191,81.7,22,33,66.7,1,0.7,#ERROR!,6,14,5,2,29,Matches
Marina Hegering,CBL,29,5,236,277,85.2,5320,1548,2,4,50,154,168,91.7,80,105,76.2,0,0,0,0,22,2,0,23,Matches
Alexandra Popp,FWR,28,5,94,154,61,2184,783,1,6,16.7,60,84,71.4,33,64,51.6,0,0.1,-0.1,3,16,3,0,17,Matches
Almuth Schult,GK,28,5,151,222,68,4768,3216,0,0,,71,72,98.6,80,150,53.3,0,0,0,0,6,0,0,0,Matches
Svenja Huth,RW,28,4.6,113,165,68.5,1672,620,1,14,7.1,100,130,76.9,12,21,57.1,0,1.4,-1.4,9,8,10,1,27,Matches
Lina Magull,CML,24,3.3,148,180,82.2,2374,622,7,11,63.6,119,132,90.2,22,37,59.5,1,0.9,#ERROR!,8,12,2,0,15,Matches
Melanie Leupolz,CMR,25,2.3,113,136,83.1,2299,662,2,2,100,83,94,88.3,28,40,70,0,0,0,1,7,0,0,13,Matches
Verena Faißt,LB,30,2,61,90,67.8,1113,500,2,3,66.7,46,60,76.7,13,27,48.1,1,0.2,#ERROR!,1,7,2,2,18,Matches
Lea Schüller,FWL,21,2.1,28,41,68.3,421,51,1,6,16.7,24,31,77.4,3,4,75,0,0.4,-0.4,1,1,0,0,0,Matches
