,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Agustina Barroso,CBR,26,3.0,32,53,60.4,683,282,0,2,0.0,20,28,71.4,12,23,52.2,0,0.0,0.0,0,1,1,0,2,Matches
Aldana Cometti,CBL,23,3.0,43,67,64.2,804,349,1,4,25.0,34,42,81.0,8,21,38.1,0,0.0,0.0,1,0,0,0,1,Matches
Vanina Correa,GK,35,3.0,34,70,48.6,1429,1286,0,0,,6,6,100.0,28,64,43.8,0,0.0,0.0,0,0,0,0,0,Matches
Eliana Stabile,LB,25,3.0,75,110,68.2,1370,874,0,2,0.0,61,78,78.2,14,30,46.7,0,0.0,0.0,1,5,0,0,18,Matches
Florencia Bonsegundo,RW,25,2.9,58,95,61.1,720,241,3,5,60.0,51,70,72.9,4,20,20.0,0,0.2,-0.2,2,1,0,0,4,Matches
Florencia Soledad Jaimes,FW,30,2.8,43,69,62.3,609,156,4,8,50.0,35,52,67.3,4,9,44.4,0,0.0,0.0,2,4,0,0,7,Matches
Lorena Benitez,DM,20,2.7,61,87,70.1,1279,570,2,5,40.0,39,47,83.0,20,35,57.1,0,0.0,0.0,0,5,0,0,8,Matches
Ruth Bravo,CMR,27,2.7,58,80,72.5,919,455,1,5,20.0,49,60,81.7,8,15,53.3,0,0.0,0.0,0,4,0,0,13,Matches
Estefanía Banini,LW,28,2.4,76,94,80.9,1096,365,0,4,0.0,69,78,88.5,7,12,58.3,0,0.1,-0.1,2,6,2,0,11,Matches
Miriam Mayorga,CML,29,2.1,23,37,62.2,276,116,1,4,25.0,22,30,73.3,0,3,0.0,0,0.0,0.0,1,1,0,0,0,Matches
Adriana Sachs,RB,25,1.0,13,29,44.8,229,163,0,4,0.0,12,18,66.7,1,7,14.3,0,0.0,0.0,0,1,0,0,3,Matches
