,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Bernd Leno,GK,26,31.5,779,1102,70.7,22158,12515,4,7,57.1,408,412,99.0,367,683,53.7,0,0.0,0.0,0,4,0,0,2,Matches
Shkodran Mustafi,RB,26,29.1,1438,1747,82.3,31858,10818,8,22,36.4,936,1055,88.7,494,670,73.7,0,0.2,-0.2,5,112,10,0,105,Matches
Pierre-Emerick Aubameyang,FW,29,30.4,526,742,70.9,7324,1884,18,47,38.3,465,614,75.7,43,81,53.1,5,4.0,#ERROR!,33,28,33,4,68,Matches
Granit Xhaka,CML,25,27.8,1955,2378,82.2,40479,11996,18,46,39.1,1403,1560,89.9,534,772,69.2,2,3.3,-1.3,38,229,36,10,272,Matches
Sokratis Papastathopoulos,CBR,30,24.4,1215,1353,89.8,26636,7826,3,8,37.5,797,846,94.2,415,499,83.2,2,0.6,#ERROR!,4,33,4,0,40,Matches
Lucas Torreira,CMR,22,26.4,1420,1623,87.5,26416,6358,24,44,54.5,1107,1215,91.1,289,364,79.4,2,1.3,#ERROR!,16,104,18,1,137,Matches
Nacho Monreal,LB,32,20.7,1121,1296,86.5,18755,6573,18,44,40.9,938,1024,91.6,165,228,72.4,3,1.4,#ERROR!,11,68,14,3,101,Matches
Mesut Özil,LW,29,19.3,1028,1179,87.2,16606,4368,24,36,66.7,850,941,90.3,154,202,76.2,2,5.3,-3.3,46,101,51,11,147,Matches
Henrikh Mkhitaryan,RW,29,18.3,661,872,75.8,10549,3037,16,52,30.8,553,659,83.9,92,161,57.1,4,4.2,-0.2,27,67,32,2,96,Matches
Aaron Ramsey,AM,27,14.8,647,790,81.9,11035,2577,11,38,28.9,527,612,86.1,109,140,77.9,6,2.4,#ERROR!,24,53,21,5,70,Matches
Laurent Koscielny,CBL,32,14.8,805,871,92.4,18690,4802,4,10,40.0,493,520,94.8,308,341,90.3,0,0.1,-0.1,2,27,2,0,27,Matches
