,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Ellie Carpenter,RB,19,4.3,206,260,79.2,3785,1417,1,9,11.1,174,199,87.4,31,52,59.6,0,0.3,-0.3,5,18,8,4,38,Matches
Steph Catley,CBL,25,4.3,248,268,92.5,4913,2021,3,5,60.0,193,202,95.5,52,61,85.2,0,0.2,-0.2,3,15,3,1,33,Matches
Sam Kerr,FW,25,4.3,64,119,53.8,965,267,2,8,25.0,56,92,60.9,6,19,31.6,0,1.1,-1.1,6,5,8,0,13,Matches
Lydia Williams,GK,31,4.3,126,141,89.4,3514,2232,0,0,,67,67,100.0,59,74,79.7,0,0.0,0.0,0,1,0,0,0,Matches
Emily van Egmond,DM,25,4.3,264,345,76.5,5436,1428,1,6,16.7,192,222,86.5,71,117,60.7,0,0.1,-0.1,3,34,5,1,42,Matches
Alanna Kennedy,CBR,24,4.1,290,315,92.1,6923,2484,0,3,0.0,176,183,96.2,114,129,88.4,0,0.1,-0.1,1,25,0,0,25,Matches
Chloe Logarzo,CML,24,4.0,134,164,81.7,2330,512,2,6,33.3,113,128,88.3,19,30,63.3,1,0.2,#ERROR!,1,14,5,2,17,Matches
Caitlin Foord,LW,24,3.7,86,107,80.4,1390,301,1,4,25.0,76,88,86.4,9,15,60.0,0,0.3,-0.3,4,8,3,2,12,Matches
Tameka Butt,CMR,27,3.3,69,97,71.1,1536,532,3,5,60.0,38,52,73.1,28,40,70.0,0,0.1,-0.1,2,10,4,2,10,Matches
Elise Kellond-Knight,LB,28,2.1,118,158,74.7,2224,992,0,2,0.0,93,112,83.0,25,44,56.8,0,0.3,-0.3,4,11,2,1,23,Matches
Emily Gielnik,RW,27,2.0,60,104,57.7,1097,505,1,11,9.1,45,63,71.4,14,30,46.7,2,0.4,#ERROR!,6,4,7,5,17,Matches
