,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Nathan Aké,LB,23,37.9,1469,1701,86.4,30143,10917,7,22,31.8,1048,1167,89.8,414,512,80.9,0,0.7,-0.7,5,92,7,3,91,Matches
Ryan Fraser,LW,24,35.3,1019,1505,67.7,18740,6522,17,70,24.3,795,1010,78.7,207,425,48.7,14,12.2,#ERROR!,87,79,64,24,225,Matches
Joshua King,FWR,26,33,607,868,69.9,9411,2210,13,50,26,523,692,75.6,71,126,56.3,3,4.2,-1.2,37,42,39,7,94,Matches
Steve Cook,CBL,27,31,1222,1573,77.7,29083,10946,4,20,20,723,841,86,495,712,69.5,1,1.3,-0.3,12,88,5,1,117,Matches
Callum Wilson,FWL,26,28.2,319,456,70,4917,1214,10,38,26.3,272,364,74.7,37,54,68.5,9,4.2,#ERROR!,28,17,20,3,45,Matches
Jefferson Lerma,CML,23,27.9,1320,1566,84.3,24967,6790,15,38,39.5,1018,1147,88.8,287,381,75.3,0,0.9,-0.9,15,116,13,1,117,Matches
David Brooks,RW,21,25.3,649,879,73.8,10707,3430,15,51,29.4,542,672,80.7,92,156,59,5,3.9,#ERROR!,29,56,40,3,110,Matches
Adam Smith,LR,27,23,860,1072,80.2,14416,5450,8,31,25.8,726,843,86.1,126,198,63.6,1,0.8,#ERROR!,10,73,16,3,116,Matches
Dan Gosling,CMR,28,19.3,755,951,79.4,14741,4118,5,20,25,564,668,84.4,186,263,70.7,1,1.1,-0.1,7,89,16,0,100,Matches
Artur Boruc,GK,38,12,225,350,64.3,7768,5404,0,0,,89,90,98.9,136,260,52.3,0,0,0,0,4,0,0,0,Matches
Chris Mepham,CBR,20,9.4,324,391,82.9,6860,2225,2,5,40,216,244,88.5,106,142,74.6,1,0,#ERROR!,0,17,0,0,22,Matches
