,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Bárbara,GK,30,4.3,131,147,89.1,3139,1302,0,0,,83,83,100.0,48,64,75.0,0,0.0,0.0,0,1,0,0,0,Matches
Debinha,LW,27,4.3,74,110,67.3,979,369,2,6,33.3,64,82,78.0,8,22,36.4,1,0.3,#ERROR!,4,5,3,1,15,Matches
Mônica,CBL,41,4.3,196,232,84.5,4174,1394,0,1,0.0,140,157,89.2,56,74,75.7,0,0.0,0.0,0,8,0,0,7,Matches
Tamires,LB,31,4.3,212,281,75.4,3487,1733,4,17,23.5,181,200,90.5,27,64,42.2,0,0.1,-0.1,3,17,2,1,36,Matches
Thaisa,CML,30,4.3,117,145,80.7,2201,638,1,3,33.3,90,102,88.2,26,40,65.0,0,0.0,0.0,0,7,1,1,16,Matches
Kathellen,CBR,23,4.2,115,156,73.7,2587,1194,1,6,16.7,71,83,85.5,43,67,64.2,0,0.0,0.0,0,3,0,0,9,Matches
Letícia Santos,RB,24,3.8,100,139,71.9,1564,763,2,6,33.3,91,112,81.3,7,21,33.3,0,0.0,0.0,0,4,1,0,14,Matches
Cristiane,FWL,34,3.3,44,65,67.7,613,127,3,5,60.0,36,52,69.2,5,8,62.5,0,0.0,0.0,1,6,0,0,6,Matches
Formiga,CMR,41,2.3,79,99,79.8,1325,427,4,6,66.7,60,69,87.0,15,24,62.5,0,0.0,0.0,0,10,1,0,16,Matches
Andressa,RW,26,2.0,55,75,73.3,1040,374,3,5,60.0,39,44,88.6,13,26,50.0,2,1.1,#ERROR!,6,4,3,1,10,Matches
Beatriz,FWR,25,1.7,34,54,63.0,434,137,0,3,0.0,31,43,72.1,3,8,37.5,0,0.0,0.0,1,6,1,0,3,Matches
