,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Lewis Dunk,CBL,26,35.0,1240,1489,83.3,30199,8695,14,31,45.2,732,795,92.1,494,663,74.5,1,0.7,#ERROR!,9,77,3,0,50,Matches
Shane Duffy,CBR,26,34.3,990,1268,78.1,23988,7882,20,28,71.4,569,676,84.2,401,564,71.1,1,0.3,#ERROR!,6,39,3,1,33,Matches
Mathew Ryan,GK,26,34.0,551,1017,54.2,25422,19509,1,2,50.0,118,122,96.7,432,893,48.4,0,0.0,0.0,0,38,0,0,0,Matches
Davy Pröpper,CML,26,28.3,980,1252,78.3,19444,5003,18,46,39.1,720,864,83.3,242,342,70.8,1,1.0,0.0,19,122,21,3,130,Matches
Glenn Murray,FW,34,27.9,385,633,60.8,5595,1071,16,42,38.1,333,517,64.4,36,74,48.6,1,0.9,#ERROR!,11,25,9,3,36,Matches
Dale Stephens,DM,29,27.6,1145,1369,83.6,25024,6533,10,32,31.3,793,899,88.2,342,438,78.1,1,0.8,#ERROR!,21,140,11,0,126,Matches
Martín Montoya,RB,27,24.1,895,1145,78.2,15916,7060,7,41,17.1,733,862,85.0,155,242,64.0,1,1.1,-0.1,19,67,27,12,148,Matches
Bernardo,LB,23,19.4,735,1014,72.5,12840,5472,15,44,34.1,603,730,82.6,117,240,48.8,1,0.9,#ERROR!,9,54,10,3,131,Matches
Anthony Knockaert,RW,26,20.4,523,736,71.1,9823,3182,8,29,27.6,407,500,81.4,108,207,52.2,6,4.3,#ERROR!,40,22,18,6,85,Matches
Yves Bissouma,CMR,21,19.7,596,727,82.0,10282,2277,18,31,58.1,472,546,86.4,106,150,70.7,0,1.1,-1.1,14,52,7,1,52,Matches
Alireza Jahanbakhsh,LW,24,11.3,210,306,68.6,3800,1206,4,20,20.0,166,210,79.0,40,76,52.6,0,0.3,-0.3,4,16,6,1,32,Matches
