,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Ben Mee,CBL,28,38,1119,1484,75.4,27336,10810,6,25,24,666,787,84.6,447,672,66.5,2,1.3,#ERROR!,9,122,5,1,99,Matches
Jack Cork,CML,29,36.8,1081,1349,80.1,19365,4193,25,47,53.2,835,978,85.4,221,324,68.2,2,1.5,#ERROR!,17,102,16,2,95,Matches
Charlie Taylor,LB,24,36,1224,1707,71.7,22327,9588,8,60,13.3,971,1156,84,245,491,49.9,1,1,0,12,66,22,13,163,Matches
James Tarkowski,CBR,25,34.3,790,1117,70.7,19562,7659,4,15,26.7,487,611,79.7,299,491,60.9,1,0.2,#ERROR!,6,91,13,0,102,Matches
Ashley Westwood,CMR,28,31.4,1111,1504,73.9,22653,7205,16,38,42.1,783,928,84.4,312,538,58,7,5.1,#ERROR!,43,142,41,10,200,Matches
Chris Wood,FWL,26,28.8,406,614,66.1,5246,1004,15,45,33.3,359,505,71.1,32,64,50,2,2,0,15,19,10,1,26,Matches
Ashley Barnes,FWR,28,26.5,346,559,61.9,5019,1092,13,38,34.2,297,433,68.6,36,88,40.9,2,3.6,-1.6,20,23,13,2,45,Matches
Jeff Hendrick,RW,26,23,511,697,73.3,8369,2149,14,49,28.6,423,518,81.7,74,130,56.9,0,1.5,-1.5,15,29,20,4,59,Matches
Tom Heaton,GK,32,19,284,586,48.5,13943,11815,0,0,,66,68,97.1,218,518,42.1,0,0.1,-0.1,2,27,0,0,8,Matches
Phil Bardsley,LR,33,18.6,523,770,67.9,10171,4847,6,15,40,398,488,81.6,119,267,44.6,0,0.6,-0.6,6,61,20,6,117,Matches
Dwight McNeil,LW,18,17.8,383,584,65.6,6974,2251,8,41,19.5,303,378,80.2,72,165,43.6,5,3.5,#ERROR!,27,25,20,14,69,Matches
