,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Raissa Feudjio,DM,23,4.0,101,153,66.0,1929,944,4,10,40.0,71,88,80.7,26,55,47.3,1,1.0,0.0,3,22,3,0,21,Matches
Estelle Johnson,CBL,30,4.0,59,96,61.5,1170,701,1,6,16.7,44,61,72.1,14,29,48.3,0,0.0,0.0,0,3,0,0,9,Matches
Yvonne Leuko,LB,27,4.0,72,148,48.6,1247,935,1,7,14.3,57,88,64.8,14,53,26.4,1,0.2,#ERROR!,1,3,2,2,18,Matches
Annette Ngo Ndom,GK,34,4.0,42,90,46.7,1424,1073,0,1,0.0,18,18,100.0,24,71,33.8,0,0.0,0.0,0,0,0,0,0,Matches
Gabrielle Onguene,LW,30,4.0,42,71,59.2,650,189,0,8,0.0,36,51,70.6,6,12,50.0,1,0.5,#ERROR!,4,3,1,0,9,Matches
Jeannette Yango,CMR,26,3.8,88,126,69.8,1351,546,1,4,25.0,74,90,82.2,13,32,40.6,0,0.3,-0.3,4,7,3,0,17,Matches
Ajara Nchout,CML,26,3.1,63,93,67.7,1038,278,1,5,20.0,49,63,77.8,13,25,52.0,0,0.2,-0.2,7,4,2,0,12,Matches
Aurelle Awona,CBR,26,3.0,48,76,63.2,1162,900,0,1,0.0,31,37,83.8,17,38,44.7,0,0.0,0.0,0,4,1,0,4,Matches
Michaela Abam,RW,22,2.4,25,45,55.6,424,143,1,4,25.0,20,28,71.4,4,13,30.8,0,0.0,0.0,0,4,1,0,5,Matches
Gaëlle Enganamouit,FW,27,2.3,21,46,45.7,344,82,1,7,14.3,17,30,56.7,3,9,33.3,0,0.0,0.0,0,2,0,0,3,Matches
Augustine Ejangue,RB,30,1.7,39,70,55.7,732,469,0,2,0.0,32,44,72.7,7,24,29.2,0,0.3,-0.3,3,4,3,1,12,Matches
