,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Kadeisha Buchanan,CBR,23,4,191,216,88.4,4434,1232,1,2,50,121,132,91.7,69,82,84.1,0,0,0,1,6,0,0,13,Matches
Jessie Fleming,FWL,21,4,163,198,82.3,2403,437,6,10,60,147,173,85,10,15,66.7,0,0.3,-0.3,5,12,5,0,14,Matches
Stephanie Labbé,GK,32,4,85,129,65.9,2526,1827,1,1,100,46,47,97.9,38,81,46.9,0,0,0,0,3,0,0,0,Matches
Ashley Lawrence,LR,24,4,193,250,77.2,3361,1475,0,1,0,164,196,83.7,29,53,54.7,1,0.7,#ERROR!,8,24,5,2,42,Matches
Sophie Schmidt,CML,30,4,218,271,80.4,4692,1818,0,8,0,151,174,86.8,67,89,75.3,0,0.5,-0.5,5,37,4,0,40,Matches
Shelina Zadorsky,CBL,26,4,228,259,88,4756,1856,0,2,0,165,171,96.5,63,86,73.3,0,0.1,-0.1,3,14,0,0,16,Matches
Desiree Scott,CMR,31,3.9,169,198,85.4,2919,650,0,3,0,144,162,88.9,25,33,75.8,0,0,0,0,16,0,0,18,Matches
Janine Beckie,LW,24,3.9,158,232,68.1,3023,1060,1,8,12.5,127,161,78.9,30,63,47.6,1,1.2,-0.2,11,12,3,1,30,Matches
Christine Sinclair,FWR,36,3.8,124,164,75.6,1739,376,3,9,33.3,109,133,82,12,22,54.5,0,0.4,-0.4,7,9,6,1,17,Matches
Allysha Chapman,LB,30,2.9,118,166,71.1,2039,962,2,9,22.2,102,122,83.6,14,35,40,0,0.1,-0.1,1,9,5,1,28,Matches
Nichelle Prince,RW,24,2.5,48,71,67.6,758,211,0,4,0,44,58,75.9,4,9,44.4,1,0.3,#ERROR!,1,4,2,1,8,Matches
