,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Neil Etheridge,GK,28,38.0,396,1188,33.3,23283,20303,0,1,0.0,23,26,88.5,373,1161,32.1,0,0.2,-0.2,3,65,0,0,0,Matches
Bruno Ecuele Manga,CBL,30,37.5,706,1110,63.6,15221,7237,5,23,21.7,479,647,74.0,222,440,50.5,1,0.4,#ERROR!,5,75,6,1,143,Matches
Sean Morrison,CBR,27,33.8,525,909,57.8,11406,5405,4,27,14.8,349,511,68.3,172,371,46.4,3,2.4,#ERROR!,17,35,8,1,68,Matches
Joe Bennett,LB,28,29.3,640,947,67.6,11667,6053,10,39,25.6,505,643,78.5,125,265,47.2,1,1.1,-0.1,13,75,14,9,157,Matches
Aron Gunnarsson,CML,29,25.3,607,926,65.6,12383,4567,13,27,48.1,399,517,77.2,195,382,51.0,1,1.4,-0.4,13,60,11,2,119,Matches
Josh Murphy,LW,23,20.3,209,384,54.4,3749,1464,3,32,9.4,163,228,71.5,43,124,34.7,2,3.1,-1.1,14,20,12,6,35,Matches
Lee Peltier,RB,31,17.1,279,442,63.1,5423,2500,7,17,41.2,203,276,73.6,69,149,46.3,0,0.0,0.0,2,21,2,1,62,Matches
Bobby Reid,AM,25,15.8,237,330,71.8,3447,835,10,27,37.0,206,256,80.5,21,47,44.7,2,0.9,#ERROR!,14,15,6,1,20,Matches
Nathaniel Mendez-Laing,RW,26,10.9,173,284,60.9,2672,1157,3,30,10.0,143,202,70.8,27,52,51.9,1,1.4,-0.4,20,15,10,6,37,Matches
Kenneth Zohore,FW,24,8.3,101,153,66.0,1408,280,3,13,23.1,90,127,70.9,8,13,61.5,1,1.0,0.0,13,6,4,2,10,Matches
Leandro Bacuna,CMR,26,6.2,114,168,67.9,2153,858,1,5,20.0,89,115,77.4,24,48,50.0,0,0.0,0.0,1,11,5,2,24,Matches
