,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
César Azpilicueta,RB,28,37.8,2471,2892,85.4,40522,14256,30,92,32.6,2145,2370,90.5,296,430,68.8,5,2.4,#ERROR!,25,160,47,19,231,Matches
Jorginho,DM,26,35.2,2703,3032,89.1,45124,13770,34,66,51.5,2286,2474,92.4,383,492,77.8,0,3.0,-3.0,29,255,47,1,317,Matches
Kepa Arrizabalaga,GK,23,36.0,974,1136,85.7,27156,14923,2,2,100.0,509,514,99.0,463,620,74.7,0,0.0,0.0,0,3,0,0,1,Matches
David Luiz,CBL,31,36.0,2293,2621,87.5,53145,18569,17,31,54.8,1460,1571,92.9,816,1019,80.1,2,2.6,-0.6,16,240,20,1,232,Matches
N'Golo Kanté,CMR,27,34.4,1805,2056,87.8,28654,6403,44,81,54.3,1521,1683,90.4,240,292,82.2,4,3.5,#ERROR!,47,149,40,7,150,Matches
Antonio Rüdiger,CBR,25,31.9,2310,2528,91.4,48449,15729,32,40,80.0,1617,1704,94.9,661,784,84.3,0,0.4,-0.4,5,177,10,0,149,Matches
Eden Hazard,LW,27,32.5,1595,1999,79.8,27836,7322,26,75,34.7,1282,1501,85.4,287,423,67.8,15,9.2,#ERROR!,93,124,108,11,269,Matches
Marcos Alonso,LB,27,30.7,1838,2226,82.6,29324,9874,27,73,37.0,1608,1805,89.1,203,348,58.3,4,4.0,0.0,31,114,23,9,175,Matches
Pedro,RW,31,19.8,950,1135,83.7,15008,3048,13,31,41.9,820,926,88.6,117,178,65.7,2,2.7,-0.7,27,50,30,8,77,Matches
Mateo Kovačić,CML,24,19.4,1355,1485,91.2,21641,5134,19,33,57.6,1141,1221,93.4,195,231,84.4,2,2.3,-0.3,25,136,21,1,100,Matches
Olivier Giroud,FW,31,9.2,174,251,69.3,2173,218,9,16,56.3,150,216,69.4,15,19,78.9,4,2.0,#ERROR!,16,5,6,0,12,Matches
