,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Rosario Balmaceda,RW,20,3.0,58,80,72.5,1079,328,0,3,0.0,49,59,83.1,9,18,50.0,0,0.3,-0.3,4,5,2,2,8,Matches
Christiane Endler,GK,27,3.0,56,92,60.9,2146,1622,0,0,,12,12,100.0,44,80,55.0,0,0.0,0.0,0,0,0,0,0,Matches
Carla Guerrero,CBR,31,3.0,65,88,73.9,1478,718,0,2,0.0,43,51,84.3,22,35,62.9,0,0.0,0.0,0,7,1,0,12,Matches
Camila Sáez,CBL,24,3.0,92,111,82.9,1771,772,2,3,66.7,74,79,93.7,16,29,55.2,0,0.0,0.0,1,7,0,0,13,Matches
Daniela Zamora,LW,28,3.0,48,72,66.7,684,117,1,5,20.0,43,56,76.8,4,11,36.4,0,0.2,-0.2,3,1,1,0,4,Matches
Francisca Lara,LB,28,3.0,76,114,66.7,1294,418,1,5,20.0,64,85,75.3,11,24,45.8,0,0.1,-0.1,2,3,2,2,16,Matches
Karen Araya,DM,28,2.5,77,110,70.0,1578,411,0,2,0.0,60,75,80.0,17,33,51.5,0,0.0,0.0,1,6,1,0,11,Matches
María José Urrutia,FW,25,2.4,41,53,77.4,653,71,0,0,,38,48,79.2,3,5,60.0,0,0.2,-0.2,4,2,0,0,2,Matches
Yanara Aedo,CML,25,1.9,64,83,77.1,1192,345,1,2,50.0,51,59,86.4,12,22,54.5,0,0.1,-0.1,3,9,3,2,10,Matches
Yessenia López,CMR,28,1.8,85,103,82.5,1875,805,0,0,,61,66,92.4,24,37,64.9,1,0.1,#ERROR!,3,18,5,1,24,Matches
Rocio Soto,RB,25,1.1,41,52,78.8,814,436,0,1,0.0,33,36,91.7,8,15,53.3,0,0.1,-0.1,2,3,2,0,10,Matches
