,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Wu Haiyan,CBR,26,4.0,111,144,77.1,2670,1133,0,3,0.0,68,77,88.3,43,64,67.2,0,0.0,0.0,1,14,1,0,12,Matches
Han Peng,RB,29,4.0,158,215,73.5,2683,1752,2,7,28.6,130,153,85.0,26,55,47.3,0,0.0,0.0,1,14,3,0,33,Matches
Zhang Rui,CML,30,4.0,169,231,73.2,3045,1030,5,10,50.0,135,171,78.9,29,50,58.0,1,0.5,#ERROR!,4,18,4,1,32,Matches
Liu Shanshan,LB,27,4.0,139,193,72.0,2556,1701,3,6,50.0,107,132,81.1,29,55,52.7,0,0.2,-0.2,2,14,6,2,46,Matches
Peng Shimeng,GK,21,4.0,42,91,46.2,1714,1375,0,0,,10,11,90.9,32,80,40.0,0,0.0,0.0,0,0,0,0,0,Matches
Lin Yuping,CBL,27,4.0,92,135,68.1,1884,895,2,2,100.0,59,76,77.6,31,57,54.4,0,0.0,0.0,0,5,0,0,14,Matches
Gu Yasha,LW,28,3.2,58,99,58.6,935,425,0,4,0.0,49,68,72.1,9,27,33.3,0,0.3,-0.3,5,3,7,3,12,Matches
Wang Shanshan,FWR,29,3.2,76,113,67.3,1053,288,1,7,14.3,71,98,72.4,4,8,50.0,0,0.0,0.0,0,6,3,0,13,Matches
Wang Shuang,RW,24,3.1,91,133,68.4,1546,571,3,11,27.3,73,91,80.2,15,31,48.4,0,0.6,-0.6,10,7,8,2,21,Matches
Li Ying,FWL,26,2.9,70,95,73.7,969,226,3,4,75.0,60,79,75.9,7,12,58.3,0,0.0,0.0,0,6,2,0,10,Matches
Wang Yan,CMR,27,2.6,82,115,71.3,1632,544,4,8,50.0,58,78,74.4,20,29,69.0,0,0.1,-0.1,3,15,1,0,14,Matches
