,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Kim Do-yeon,CBL,30,3.0,131,137,95.6,3043,688,0,0,,82,83,98.8,49,54,90.7,0,0.0,0.0,0,7,0,0,6,Matches
Lee Geum-min,LW,25,3.0,62,78,79.5,894,300,1,3,33.3,59,70,84.3,2,5,40.0,1,1.2,-0.2,7,3,4,0,9,Matches
Kim Minjung,GK,22,3.0,51,89,57.3,1434,922,0,0,,29,29,100.0,22,60,36.7,0,0.0,0.0,0,0,0,0,0,Matches
Jang Sel-gi,LB,25,3.0,133,171,77.8,2095,870,1,6,16.7,117,133,88.0,15,32,46.9,0,0.1,-0.1,3,14,3,1,17,Matches
Cho So-hyun,CML,30,3.0,103,142,72.5,1915,814,1,1,100.0,83,104,79.8,19,37,51.4,0,0.1,-0.1,1,14,3,0,20,Matches
Ji So-yun,AM,28,3.0,144,167,86.2,2633,793,2,6,33.3,117,128,91.4,25,33,75.8,0,0.3,-0.3,6,18,7,1,27,Matches
Hwang Bo-ram,CBR,31,2.0,86,101,85.1,1898,802,0,4,0.0,60,64,93.8,26,33,78.8,0,0.0,0.0,0,2,0,0,8,Matches
Kang Chaerim,RW,21,2.0,34,46,73.9,452,157,0,1,0.0,31,38,81.6,3,7,42.9,0,0.0,0.0,0,4,0,0,6,Matches
Kim Hye-ri,RB,28,2.0,70,93,75.3,1293,657,1,4,25.0,55,63,87.3,14,26,53.8,0,0.1,-0.1,1,5,2,0,13,Matches
Jung Seol-bin,FW,29,1.6,21,31,67.7,363,69,1,4,25.0,18,23,78.3,2,4,50.0,0,0.1,-0.1,1,0,1,1,2,Matches
Lee Min-ah,CMR,27,1.1,48,57,84.2,781,188,0,0,,44,50,88.0,4,7,57.1,0,0.0,0.0,0,4,0,0,1,Matches
