,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Luka Milivojević,CML,27,38,1629,2140,76.1,32438,10106,27,65,41.5,1201,1378,87.2,401,697,57.5,2,3.2,-1.2,59,181,26,8,248,Matches
Patrick van Aanholt,LB,27,35.5,1587,1962,80.9,26851,11857,23,50,46,1333,1543,86.4,231,369,62.6,2,4,-2,34,115,63,9,292,Matches
James McArthur,CMR,30,34.1,1151,1454,79.2,20576,5246,16,54,29.6,915,1066,85.8,220,334,65.9,6,3.6,#ERROR!,30,106,17,2,101,Matches
Aaron Wan-Bissaka,LR,20,34.8,1156,1537,75.2,17192,8382,23,79,29.1,1023,1220,83.9,110,238,46.2,3,1.8,#ERROR!,14,84,23,8,164,Matches
Wilfried Zaha,FWL,25,33.8,839,1094,76.7,12534,3684,20,74,27,727,890,81.7,92,130,70.8,5,5.8,-0.8,54,61,68,10,147,Matches
Andros Townsend,RW,27,33.5,895,1237,72.4,14634,3903,23,77,29.9,749,899,83.3,123,261,47.1,4,5.4,-1.4,64,56,44,21,134,Matches
Vicente Guaita,GK,31,19.5,297,592,50.2,11919,9316,3,3,100,107,109,98.2,187,480,39,0,0,0,1,7,0,0,0,Matches
Max Meyer,LW,22,15.7,566,697,81.2,8453,2154,11,31,35.5,498,575,86.6,57,91,62.6,2,1.3,#ERROR!,23,45,13,2,56,Matches
Martin Kelly,CBR,28,12.3,263,346,76,5782,2521,2,4,50,179,209,85.6,82,133,61.7,0,0,0,1,19,2,0,17,Matches
Michy Batshuayi,FWR,24,8.4,111,162,68.5,1614,301,5,15,33.3,90,121,74.4,16,26,61.5,0,0.1,-0.1,1,5,2,0,7,Matches
Joel Ward,CBL,28,6.1,185,256,72.3,3043,1705,1,7,14.3,153,190,80.5,31,59,52.5,0,0.2,-0.2,3,19,3,1,28,Matches
