,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Alyssa Naeher,GK,31,7.0,98,156,62.8,3797,2828,0,1,0.0,29,29,100.0,69,126,54.8,0,0.0,0.0,0,4,0,0,0,Matches
Abby Dahlkemper,CBR,26,6.9,327,382,85.6,7674,3089,1,2,50.0,217,231,93.9,109,149,73.2,0,0.3,-0.3,3,50,1,1,39,Matches
Crystal Dunn,LB,26,6.0,267,359,74.4,5196,2057,1,12,8.3,210,256,82.0,56,91,61.5,0,0.6,-0.6,4,29,9,3,48,Matches
Becky Sauerbrunn,CBL,34,6.0,278,306,90.8,5984,1694,1,2,50.0,195,211,92.4,82,93,88.2,0,0.0,0.0,0,10,1,0,14,Matches
Tobin Heath,RW,31,5.5,120,178,67.4,1889,459,3,9,33.3,102,127,80.3,15,42,35.7,1,0.8,#ERROR!,8,2,2,1,11,Matches
Kelley O'Hara,RB,30,5.5,268,315,85.1,5173,1850,3,6,50.0,204,222,91.9,61,87,70.1,2,0.5,#ERROR!,4,23,5,4,41,Matches
Alex Morgan,FW,29,5.4,73,122,59.8,979,173,7,16,43.8,60,87,69.0,6,19,31.6,3,1.0,#ERROR!,3,3,1,0,6,Matches
Julie Ertz,DM,27,5.3,136,180,75.6,2676,778,3,7,42.9,103,121,85.1,30,52,57.7,0,0.1,-0.1,1,26,0,0,17,Matches
Rose Lavelle,CMR,24,4.7,131,184,71.2,2307,591,3,7,42.9,105,136,77.2,23,41,56.1,0,0.5,-0.5,8,10,7,0,22,Matches
Sam Mewis,CML,26,5.2,181,253,71.5,3456,1138,0,4,0.0,141,188,75.0,40,61,65.6,4,2.1,#ERROR!,9,24,4,0,33,Matches
Megan Rapinoe,LW,33,4.8,187,253,73.9,3334,1381,2,11,18.2,146,174,83.9,39,68,57.4,2,2.0,0.0,21,7,12,5,56,Matches
