,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Lee Alexander,GK,27,3.0,65,95,68.4,1846,1232,0,0,,37,37,100.0,28,58,48.3,0,0.0,0.0,0,0,0,0,0,Matches
Jennifer Beattie,CBL,28,3.0,140,165,84.8,3123,986,0,1,0.0,91,100,91.0,49,64,76.6,0,0.0,0.0,0,4,1,0,2,Matches
Rachel Corsie,CBR,29,3.0,132,156,84.6,2960,1207,1,2,50.0,82,95,86.3,49,59,83.1,0,0.0,0.0,0,6,0,0,4,Matches
Erin Cuthbert,FW,20,3.0,67,92,72.8,1033,177,3,8,37.5,56,67,83.6,8,17,47.1,1,0.7,#ERROR!,5,2,1,0,8,Matches
Kim Little,AM,28,3.0,100,118,84.7,1798,328,0,5,0.0,82,88,93.2,18,25,72.0,0,0.2,-0.2,4,5,2,0,10,Matches
Caroline Weir,CML,23,3.0,129,166,77.7,2677,802,1,2,50.0,96,107,89.7,32,57,56.1,1,0.6,#ERROR!,5,15,1,1,21,Matches
Lisa Evans,RW,27,2.9,51,72,70.8,749,347,0,4,0.0,47,60,78.3,4,8,50.0,1,0.3,#ERROR!,2,5,3,0,14,Matches
Kirsty Smith,RB,25,2.3,82,112,73.2,1331,587,0,6,0.0,72,85,84.7,10,21,47.6,0,0.0,0.0,0,2,1,0,16,Matches
Claire Emslie,LW,25,2.3,43,63,68.3,653,278,0,6,0.0,38,49,77.6,5,8,62.5,0,0.0,0.0,0,7,2,1,8,Matches
Nicola Docherty,LB,26,1.6,37,59,62.7,741,497,0,2,0.0,29,36,80.6,8,21,38.1,0,0.0,0.0,0,2,0,0,8,Matches
Leanne Crichton,CMR,31,1.0,35,41,85.4,544,198,0,1,0.0,32,35,91.4,3,5,60.0,0,0.0,0.0,0,5,0,0,5,Matches
