,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Marta Corredera,LB,27,4,165,238,69.3,3367,1583,1,7,14.3,121,151,80.1,43,80,53.8,0,0.1,-0.1,2,21,5,1,42,Matches
Jennifer Hermoso,FW,29,4,198,261,75.9,3126,921,5,12,41.7,164,197,83.2,29,52,55.8,0,1.1,-1.1,12,17,10,3,34,Matches
María León,CBL,23,4,179,215,83.3,3846,1492,0,1,0,128,141,90.8,51,73,69.9,0,0,0,2,17,2,0,17,Matches
Sandra Paños,GK,26,4,58,92,63,2292,1856,0,0,,19,19,100,39,73,53.4,0,0,0,0,2,0,0,0,Matches
Irene Paredes,CBR,27,4,189,231,81.8,4854,1714,3,5,60,92,102,90.2,94,124,75.8,0,0,0,1,23,2,0,23,Matches
Virginia Torrecilla,DM,24,3.9,149,206,72.3,2991,984,3,7,42.9,109,133,82,37,66,56.1,1,1,0,4,26,5,1,24,Matches
Alexia Putellas,CMR,25,2.8,105,131,80.2,1744,486,4,9,44.4,85,96,88.5,16,26,61.5,0,0,0,1,9,4,1,13,Matches
Patricia Guijarro,LW,21,2.3,73,103,70.9,1410,348,1,3,33.3,55,72,76.4,17,28,60.7,0,0.1,-0.1,1,13,1,0,15,Partidos
Marta Torrejón,RB,29,2,98,120,81.7,1700,736,0,1,0,81,98,82.7,17,21,81,0,0.1,-0.1,2,9,5,4,26,Matches
Vicky Losada,CML,28,0.9,35,42,83.3,591,168,2,2,100,28,33,84.8,5,7,71.4,0,0.1,-0.1,2,2,0,0,2,Matches
Amanda Sampedro,RW,25,0.5,31,35,88.6,361,72,1,1,100,30,34,88.2,0,0,,0,0,0,1,2,5,0,5,Matches
