,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Jordan Pickford,GK,24,38.0,748,1250,59.8,28716,19158,1,1,100.0,295,301,98.0,452,948,47.7,0,0.1,-0.1,1,36,0,0,1,Matches
Gylfi Sigurðsson,AM,28,34.8,830,1231,67.4,14768,5597,18,73,24.7,633,781,81.0,179,377,47.5,6,7.2,-1.2,72,99,48,8,190,Matches
Michael Keane,CBR,25,33.0,1285,1558,82.5,28801,10748,5,17,29.4,844,962,87.7,436,579,75.3,2,0.7,#ERROR!,8,97,4,0,108,Matches
Lucas Digne,LB,25,32.9,1460,2059,70.9,26883,12195,18,74,24.3,1155,1385,83.4,287,600,47.8,4,6.0,-2.0,70,112,51,30,293,Matches
Idrissa Gana Gueye,CMR,28,31.4,1478,1758,84.1,28783,7529,15,33,45.5,1111,1273,87.3,352,452,77.9,2,1.1,#ERROR!,19,172,20,2,171,Matches
Richarlison,RW,21,29.8,546,837,65.2,8739,1987,16,75,21.3,452,623,72.6,78,139,56.1,1,1.5,-0.5,17,39,25,3,76,Matches
Séamus Coleman,RB,29,28.4,1218,1583,76.9,21085,9037,7,44,15.9,1017,1192,85.3,194,347,55.9,2,2.4,-0.4,22,97,25,14,188,Matches
Bernard,LW,25,23.6,633,867,73.0,10614,3250,7,44,15.9,524,643,81.5,102,180,56.7,3,3.1,-0.1,40,45,34,9,91,Matches
Theo Walcott,FW,29,23.6,447,631,70.8,6647,2053,13,37,35.1,381,489,77.9,53,105,50.5,2,2.4,-0.4,21,41,18,11,66,Matches
André Gomes,CML,25,22.1,1025,1230,83.3,21258,4816,13,35,37.1,732,837,87.5,280,358,78.2,1,0.6,#ERROR!,7,106,21,3,117,Matches
Yerry Mina,CBL,23,9.9,413,488,84.6,9307,3264,1,5,20.0,267,297,89.9,145,186,78.0,0,0.2,-0.2,3,28,1,0,34,Matches
