,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Sarah Bouhaddi,GK,32,5.3,88,126,69.8,2976,2159,0,0,,39,42,92.9,49,84,58.3,0,0,0,0,1,0,0,0,Matches
Amandine Henry,CMR,29,5.3,204,253,80.6,3848,1045,1,11,9.1,158,181,87.3,45,61,73.8,1,0.9,#ERROR!,8,34,8,4,32,Matches
Griedge Mbock Bathy,CBR,24,5.3,242,268,90.3,5690,1866,1,2,50,140,149,94,101,117,86.3,0,0,0,0,18,0,0,20,Matches
Wendie Renard,CBL,28,5.3,275,303,90.8,7075,2294,2,5,40,131,145,90.3,142,153,92.8,0,0.1,-0.1,1,27,3,0,18,Matches
Amel Majri,LB,26,5.1,265,353,75.1,4600,2142,3,14,21.4,220,246,89.4,42,93,45.2,3,1.3,#ERROR!,17,16,10,8,56,Matches
Kadidiatou Diani,FWR,24,4.6,63,108,58.3,776,159,3,20,15,58,81,71.6,2,7,28.6,1,0.8,#ERROR!,5,3,0,0,3,Matches
Eugénie Le Sommer,LW,30,4.6,151,190,79.5,2090,735,10,21,47.6,128,147,87.1,13,22,59.1,1,0.4,#ERROR!,8,8,9,1,23,Matches
Élise Bussaglia,CML,33,4.3,172,216,79.6,3325,1012,1,6,16.7,131,156,84,40,54,74.1,0,0.1,-0.1,4,23,3,1,33,Matches
Gaëtane Thiney,FWL,33,4.3,95,143,66.4,1941,654,3,16,18.8,65,86,75.6,27,41,65.9,2,0.8,#ERROR!,11,12,4,0,24,Matches
Marion Torrent,LR,27,4.2,169,242,69.8,2705,1359,2,9,22.2,151,189,79.9,16,44,36.4,0,0.1,-0.1,1,19,3,2,40,Matches
Delphine Cascarino,RW,22,2,57,79,72.2,745,198,1,6,16.7,55,64,85.9,1,9,11.1,0,0.3,-0.3,3,4,1,1,7,Matches
