,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Dominique Bloodworth,LB,24,7.3,341,418,81.6,8834,3413,2,7,28.6,193,213,90.6,146,198,73.7,0,0.0,0.0,0,30,3,0,39,Matches
Desiree van Lunteren,RB,26,7.3,378,505,74.9,6770,3157,7,17,41.2,307,364,84.3,64,124,51.6,1,1.2,-0.2,4,30,9,4,76,Matches
Sari van Veenendaal,GK,29,7.3,132,183,72.1,4298,2877,0,0,,52,52,100.0,80,131,61.1,0,0.0,0.0,0,2,0,0,0,Matches
Vivianne Miedema,AM,22,7.3,143,192,74.5,2312,322,4,8,50.0,118,150,78.7,21,34,61.8,0,0.4,-0.4,8,6,6,0,12,Matches
Jackie Groenen,CMR,24,7.2,268,352,76.1,4975,1466,4,12,33.3,212,245,86.5,52,95,54.7,0,0.4,-0.4,4,35,11,2,42,Matches
Sherida Spitse,CML,29,7.1,395,477,82.8,7540,2201,11,15,73.3,290,318,91.2,94,144,65.3,4,0.8,#ERROR!,16,40,2,0,63,Matches
Daniëlle van de Donk,RW,27,7.1,236,309,76.4,3527,833,5,17,29.4,210,255,82.4,21,37,56.8,0,0.5,-0.5,5,20,8,1,27,Matches
Lieke Martens,LW,26,6.1,173,235,73.6,3019,685,1,9,11.1,147,182,80.8,25,44,56.8,0,0.4,-0.4,6,11,9,1,22,Matches
Stefanie van der Gragt,CBL,26,5.3,269,324,83.0,6688,1745,2,8,25.0,159,174,91.4,108,142,76.1,0,0.0,0.0,0,16,1,0,20,Matches
Anouk Dekker,CBR,32,2.8,103,128,80.5,2212,662,0,1,0.0,70,82,85.4,33,45,73.3,0,0.0,0.0,0,7,0,0,8,Matches
Lineth Beerensteyn,FW,22,2.9,42,60,70.0,555,122,6,8,75.0,32,44,72.7,4,8,50.0,1,0.2,#ERROR!,4,3,0,0,1,Matches
