,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Christopher Schindler,CBR,28,36.2,1271,1501,84.7,28298,8473,8,20,40,811,919,88.2,452,562,80.4,0,0.3,-0.3,1,74,2,0,71,Matches
Terence Kongolo,CBL,24,30.2,952,1253,76,18738,8386,5,30,16.7,703,819,85.8,244,404,60.4,1,1,0,9,74,11,4,112,Matches
Jonas Lössl,GK,29,30.9,693,1097,63.2,27674,20380,0,1,0,213,215,99.1,480,881,54.5,1,0.4,#ERROR!,3,21,0,0,1,Matches
Jonathan Hogg,CMR,29,26.4,1304,1554,83.9,24059,5921,15,33,45.5,1007,1141,88.3,282,380,74.2,1,0.5,#ERROR!,16,122,12,1,101,Matches
Alex Pritchard,FW,25,23.2,694,977,71,10901,2879,21,64,32.8,594,733,81,79,180,43.9,0,2.2,-2.2,34,60,28,7,90,Matches
Philip Billing,CML,22,24.3,912,1251,72.9,18591,5361,11,39,28.2,657,798,82.3,244,414,58.9,0,1.1,-1.1,17,67,21,10,132,Matches
Erik Durm,LB,26,22.8,748,1072,69.8,12973,4976,5,39,12.8,602,742,81.1,141,291,48.5,1,0.9,#ERROR!,12,53,18,10,125,Matches
Steve Mounié,LW,23,19.7,363,557,65.2,5226,903,7,32,21.9,322,469,68.7,34,56,60.7,3,1.9,#ERROR!,17,25,3,0,27,Matches
Karlan Grant,RW,20,9.7,147,213,69,1990,474,2,17,11.8,133,172,77.3,12,24,50,0,0.4,-0.4,8,8,2,0,11,Matches
Jon Gorenc Stanković,DM,22,8,226,287,78.7,4401,1234,3,12,25,163,183,89.1,60,92,65.2,0,0.2,-0.2,4,20,2,1,24,Matches
Demeaco Duhaney,RB,19,0.5,20,28,71.4,343,187,0,1,0,16,20,80,4,7,57.1,0,0,0,0,3,1,0,6,Matches
