,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Lucy Bronze,RB,27,7.0,436,554,78.7,7953,3455,3,22,13.6,357,412,86.7,76,120,63.3,2,1.4,#ERROR!,9,39,8,4,83,Matches
Steph Houghton,CBR,31,7.0,388,453,85.7,9095,3517,1,2,50.0,236,254,92.9,151,197,76.6,0,0.0,0.0,0,45,0,0,44,Matches
Jill Scott,CMR,32,6.9,255,338,75.4,4091,842,7,23,30.4,215,265,81.1,33,50,66.0,1,0.8,#ERROR!,5,17,4,2,18,Matches
Nikita Parris,RW,25,5.8,151,208,72.6,2343,738,3,11,27.3,131,168,78.0,17,29,58.6,1,1.6,-0.6,8,7,8,2,27,Matches
Ellen White,FW,30,5.7,90,113,79.6,1322,119,1,7,14.3,79,90,87.8,10,16,62.5,0,0.1,-0.1,1,3,2,0,4,Matches
Fran Kirby,CML,25,5.1,192,245,78.4,3122,603,3,5,60.0,167,206,81.1,22,34,64.7,1,1.5,-0.5,11,12,11,0,30,Matches
Keira Walsh,DM,22,4.6,230,281,81.9,4594,1114,1,6,16.7,186,211,88.2,43,64,67.2,0,0.3,-0.3,2,28,5,0,30,Matches
Millie Bright,CBL,25,4.6,258,303,85.1,6129,2100,2,3,66.7,155,172,90.1,101,128,78.9,0,0.0,0.0,0,6,0,0,14,Matches
Karen Bardsley,GK,34,4.0,93,126,73.8,2583,1752,0,0,,54,54,100.0,39,72,54.2,0,0.0,0.0,0,0,0,0,0,Matches
Alex Greenwood,LB,25,4.0,236,307,76.9,4061,1764,1,7,14.3,203,233,87.1,32,67,47.8,0,0.4,-0.4,5,15,4,0,38,Matches
Beth Mead,LW,24,3.3,90,122,73.8,1498,435,1,3,33.3,73,90,81.1,16,29,55.2,3,1.8,#ERROR!,9,2,4,2,14,Matches
