,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Valentina Cernoia,CML,27,5.0,122,172,70.9,2435,882,4,8,50.0,87,104,83.7,31,60,51.7,1,0.4,#ERROR!,6,14,3,1,28,Matches
Sara Gama,CBR,30,5.0,115,163,70.6,2662,1292,0,4,0.0,74,84,88.1,41,75,54.7,0,0.0,0.0,0,6,0,0,5,Matches
Manuela Giugliano,DM,21,5.0,141,197,71.6,3154,1046,2,6,33.3,92,111,82.9,47,80,58.8,3,1.9,#ERROR!,8,13,5,1,22,Matches
Laura Giuliani,GK,26,5.0,120,181,66.3,3793,2341,1,1,100.0,53,55,96.4,66,125,52.8,0,0.0,0.0,0,0,0,0,0,Matches
Elena Linari,CBL,25,5.0,153,192,79.7,3605,1557,0,2,0.0,102,120,85.0,51,70,72.9,0,0.1,-0.1,2,7,1,0,9,Matches
Alia Guagni,LB,31,4.6,137,208,65.9,2842,1474,1,7,14.3,99,134,73.9,37,67,55.2,1,0.5,#ERROR!,6,12,5,4,36,Matches
Barbara Bonansea,LW,28,4.4,61,104,58.7,898,263,1,6,16.7,55,85,64.7,5,13,38.5,0,0.2,-0.2,1,4,2,0,8,Matches
Valentina Bergamaschi,RB,22,3.4,,,,,,,,,,,,,,,0,,,,,,,,Matches
Cristiana Girelli,FW ,29,3.1,82,129,63.6,1417,380,0,4,0.0,69,95,72.6,13,30,43.3,0,0.0,0.0,1,5,0,0,15,Matches
Aurora Galli,CMR,22,3.3,68,97,70.1,1176,353,2,9,22.2,55,68,80.9,11,20,55.0,0,0.2,-0.2,3,7,2,0,13,Matches
Ilaria Mauro,RW,31,1.1,18,26,69.2,304,57,0,0,,15,22,68.2,3,4,75.0,0,0.0,0.0,0,0,0,0,3,Matches
