,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Deneisha Blackwood,LB,22,3.0,58,104,55.8,1188,709,0,6,0.0,44,67,65.7,14,31,45.2,0,0.1,-0.1,3,0,1,0,15,Matches
Konya Plummer,CBL,21,3.0,60,90,66.7,1509,705,2,7,28.6,30,34,88.2,28,49,57.1,0,0.0,0.0,0,5,0,0,5,Matches
Bunny Shaw,FW,22,3.0,45,78,57.7,802,213,0,4,0.0,37,56,66.1,8,18,44.4,1,0.9,#ERROR!,5,4,4,1,9,Matches
Allyson Swaby,CBR,22,3.0,68,88,77.3,1606,689,0,1,0.0,43,49,87.8,25,38,65.8,0,0.0,0.0,0,3,0,0,7,Matches
Chantelle Swaby,CML,20,2.5,41,68,60.3,686,163,0,3,0.0,36,54,66.7,5,11,45.5,0,0.0,0.0,0,3,0,0,3,Matches
Havana Solaun,DM,26,2.3,52,67,77.6,865,367,1,3,33.3,45,52,86.5,6,12,50.0,0,0.3,-0.3,5,8,0,0,13,Matches
Sydney Schneider,GK,19,2.0,38,61,62.3,1198,860,0,0,,21,21,100.0,17,40,42.5,0,0.0,0.0,0,0,0,0,0,Matches
Cheyna Matthews,RW,25,1.3,10,20,50.0,207,101,0,2,0.0,8,16,50.0,2,2,100.0,0,0.1,-0.1,2,1,2,1,5,Matches
Marlo Sweatman,CMR,24,1.5,39,53,73.6,857,250,0,0,,28,32,87.5,11,21,52.4,0,0.2,-0.2,1,2,1,0,6,Matches
Trudi Carter,LW,24,1.2,16,25,64.0,248,102,0,1,0.0,14,20,70.0,2,4,50.0,0,0.2,-0.2,2,2,2,1,5,Matches
Dominique Bond-Flasza,RB,22,1.0,25,38,65.8,529,248,0,3,0.0,19,25,76.0,6,10,60.0,0,0.0,0.0,1,3,2,1,8,Matches
