,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Saki Kumagai,CBR,28,4.0,254,274,92.7,5443,1546,1,2,50.0,172,177,97.2,81,95,85.3,0,0.0,0.0,1,16,0,0,14,Matches
Aya Sameshima,LB,31,4.0,205,268,76.5,3619,1856,2,10,20.0,172,205,83.9,31,53,58.5,0,0.2,-0.2,2,27,4,1,46,Matches
Risa Shimizu,RB,22,4.0,207,242,85.5,3526,1390,1,3,33.3,175,187,93.6,31,52,59.6,0,0.2,-0.2,2,13,4,2,23,Matches
Hina Sugita,CML,22,4.0,216,264,81.8,3881,1112,2,12,16.7,181,202,89.6,33,50,66.0,0,0.2,-0.2,5,30,3,0,32,Matches
Ayaka Yamashita,GK,23,4.0,91,99,91.9,1934,1132,0,0,,71,71,100.0,20,28,71.4,0,0.0,0.0,0,0,0,0,0,Matches
Emi Nakajima,RW,28,3.6,108,149,72.5,1754,601,0,4,0.0,94,116,81.0,14,29,48.3,0,0.1,-0.1,4,14,4,0,24,Matches
Yuika Sugasawa,FWR,28,3.3,72,92,78.3,1006,114,1,7,14.3,64,75,85.3,7,10,70.0,0,0.4,-0.4,6,1,4,1,4,Matches
Narumi Miura,CMR,21,3.3,157,190,82.6,2926,668,3,5,60.0,121,141,85.8,33,44,75.0,0,0.4,-0.4,3,14,3,0,20,Matches
Mana Iwabuchi,FWL,26,3.3,84,108,77.8,1414,501,2,5,40.0,68,83,81.9,14,20,70.0,1,0.7,#ERROR!,6,12,5,1,19,Matches
Nana Ichise,CBL,21,3.0,156,173,90.2,3339,1092,0,0,,108,116,93.1,48,57,84.2,0,0.0,0.0,0,8,0,0,9,Matches
Jun Endō,LW,19,1.9,60,78,76.9,841,244,4,10,40.0,52,61,85.2,4,7,57.1,1,0.5,#ERROR!,3,2,4,0,8,Matches
