,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Kasper Schmeichel,GK,31,38.0,825,1208,68.3,30971,19665,1,2,50.0,267,269,99.3,557,937,59.4,0,0.4,-0.4,1,10,0,0,3,Matches
Wilfred Ndidi,DM,21,36.6,1634,2035,80.3,29967,7215,20,67,29.9,1255,1485,84.5,359,483,74.3,0,1.4,-1.4,22,155,11,0,153,Matches
Ben Chilwell,LB,21,36.0,1575,2239,70.3,26044,9663,13,67,19.4,1348,1677,80.4,214,495,43.2,4,2.9,#ERROR!,40,99,36,16,211,Matches
Ricardo Pereira,RB,24,34.7,1495,1956,76.4,25059,9670,21,69,30.4,1266,1538,82.3,208,349,59.6,6,4.4,#ERROR!,31,109,31,6,224,Matches
James Maddison,CML,21,31.6,1243,1617,76.9,23847,7531,17,48,35.4,925,1070,86.4,301,499,60.3,7,7.2,-0.2,96,137,51,5,237,Matches
Jamie Vardy,FW,31,30.4,286,443,64.6,4490,864,7,32,21.9,246,348,70.7,33,63,52.4,4,4.3,-0.3,29,13,17,5,38,Matches
Demarai Gray,RW,22,22.2,523,709,73.8,8075,1716,12,38,31.6,440,538,81.8,71,133,53.4,1,0.7,#ERROR!,11,40,18,0,46,Matches
Wes Morgan,CBR,34,21.4,739,896,82.5,15028,4386,9,15,60.0,522,600,87.0,208,281,74.0,0,0.2,-0.2,2,34,0,0,34,Matches
Youri Tielemans,CMR,21,12.1,542,645,84.0,10283,2343,11,32,34.4,402,451,89.1,129,162,79.6,4,2.4,#ERROR!,19,65,13,3,71,Matches
Harvey Barnes,LW,20,11.2,257,344,74.7,3546,944,7,27,25.9,233,286,81.5,17,31,54.8,2,1.4,#ERROR!,16,16,13,4,35,Matches
Çağlar Söyüncü,CBL,22,4.1,183,215,85.1,3477,1215,4,6,66.7,133,143,93.0,46,66,69.7,0,0.0,0.0,0,11,2,1,16,Matches
