,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Alisson,GK,25,38.0,1039,1262,82.3,30318,16760,1,2,50.0,513,520,98.7,525,740,70.9,0,0.0,0.0,0,12,0,0,0,Matches
Virgil van Dijk,CBL,27,37.6,2709,2996,90.4,61696,17542,6,22,27.3,1758,1878,93.6,945,1096,86.2,2,1.1,#ERROR!,6,182,5,0,157,Matches
Mohamed Salah,RW,26,36.2,864,1150,75.1,12874,3831,19,58,32.8,746,916,81.4,99,176,56.3,8,9.1,-1.1,68,58,74,7,158,Matches
Andrew Robertson,LB,24,35.8,2283,2797,81.6,41485,15333,10,54,18.5,1861,2085,89.3,412,658,62.6,11,6.6,#ERROR!,52,159,72,18,321,Matches
Sadio Mané,LW,26,34.3,932,1215,76.7,15438,3354,16,61,26.2,780,954,81.8,136,200,68.0,1,4.6,-3.6,43,77,44,4,111,Matches
Georginio Wijnaldum,CMR,27,30.4,1620,1778,91.1,28561,6236,16,34,47.1,1338,1435,93.2,266,309,86.1,0,1.2,-1.2,21,191,18,2,131,Matches
Roberto Firmino,FW,26,29.1,1056,1303,81.0,15904,4432,24,70,34.3,905,1064,85.1,127,169,75.1,6,5.9,#ERROR!,42,90,54,3,158,Matches
Trent Alexander-Arnold,RB,19,27.4,1644,2213,74.3,34938,13658,13,56,23.2,1165,1375,84.7,466,782,59.6,12,6.3,#ERROR!,48,129,59,25,322,Matches
Fabinho,DM,24,22.4,1403,1631,86.0,27109,6384,12,30,40.0,1073,1183,90.7,318,418,76.1,2,1.3,#ERROR!,16,153,25,2,135,Matches
James Milner,CML,32,19.8,1300,1614,80.5,25922,9195,17,52,32.7,967,1091,88.6,316,471,67.1,4,4.7,-0.7,45,143,41,7,207,Matches
Joël Matip,CBR,26,17.0,1158,1320,87.7,25138,7510,5,12,41.7,789,851,92.7,364,457,79.6,0,0.1,-0.1,2,85,5,0,60,Matches
