,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Ederson,GK,24,38.0,918,1071,85.7,24419,14709,1,3,33.3,550,551,99.8,367,517,71.0,1,0.3,#ERROR!,3,9,0,0,3,Matches
Aymeric Laporte,CBL,24,34.0,2793,3028,92.2,59118,19695,11,21,52.4,1983,2079,95.4,799,928,86.1,3,1.2,#ERROR!,14,255,7,0,251,Matches
Bernardo Silva,CMR,23,31.7,1513,1798,84.1,25650,5777,27,71,38.0,1248,1388,89.9,238,339,70.2,7,7.3,-0.3,70,96,57,5,168,Matches
Raheem Sterling,RW,23,30.9,1099,1337,82.2,15362,3204,17,61,27.9,1026,1157,88.7,56,119,47.1,9,9.1,-0.1,58,22,52,5,100,Matches
Sergio Agüero,FW,30,27.6,665,785,84.7,9245,1686,27,45,60.0,592,678,87.3,46,62,74.2,8,5.2,#ERROR!,34,37,44,1,68,Matches
Kyle Walker,RB,28,30.9,2337,2655,88.0,46092,11890,17,43,39.5,1758,1890,93.0,562,722,77.8,1,1.7,-0.7,24,252,29,4,189,Matches
David Silva,CML,32,26.8,1783,2083,85.6,29033,6374,17,50,34.0,1532,1715,89.3,234,318,73.6,8,9.1,-1.1,73,136,84,5,204,Matches
Fernandinho,DM,33,26.5,1804,2068,87.2,33312,9062,17,41,41.5,1430,1576,90.7,357,451,79.2,3,2.7,#ERROR!,24,255,48,0,218,Matches
Leroy Sané,LW,22,20.7,750,954,78.6,10896,2395,17,50,34.0,671,777,86.4,62,127,48.8,10,6.7,#ERROR!,36,26,39,2,93,Matches
John Stones,CBR,24,19.6,1646,1741,94.5,33895,9566,8,10,80.0,1177,1223,96.2,461,508,90.7,0,0.2,-0.2,5,111,5,0,86,Matches
Benjamin Mendy,LB,24,10.0,668,791,84.5,11962,3861,5,13,38.5,559,615,90.9,104,163,63.8,5,1.5,#ERROR!,12,54,27,11,113,Matches
