,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
David de Gea,GK,27,38.0,712,1087,65.5,28362,21563,1,1,100.0,252,255,98.8,459,831,55.2,0,0.0,0.0,1,11,0,0,1,Matches
Paul Pogba,CML,25,33.5,1728,2115,81.7,33679,9741,21,57,36.8,1311,1507,87.0,396,551,71.9,9,5.1,#ERROR!,51,225,64,8,274,Matches
Victor Lindelöf,CBR,24,28.9,1323,1481,89.3,25954,9015,12,27,44.4,1015,1079,94.1,296,375,78.9,1,1.0,0.0,4,57,6,0,71,Matches
Ashley Young,RB,33,28.5,1380,1904,72.5,27132,11875,19,72,26.4,1032,1207,85.5,329,625,52.6,2,3.4,-1.4,42,118,33,12,259,Matches
Nemanja Matić,DM,29,27.1,1579,1797,87.9,30170,7839,23,42,54.8,1180,1297,91.0,376,458,82.1,0,0.9,-0.9,14,173,21,4,152,Matches
Marcus Rashford,FW,20,26.0,538,728,73.9,8159,2006,8,40,20.0,466,560,83.2,64,128,50.0,6,4.3,#ERROR!,38,32,24,3,75,Matches
Jesse Lingard,RW,25,18.5,668,788,84.8,9707,1844,30,49,61.2,564,636,88.7,74,103,71.8,2,2.1,-0.1,17,59,14,1,49,Matches
Anthony Martial,LW,22,18.0,575,752,76.5,7917,2249,12,44,27.3,522,637,81.9,41,71,57.7,2,2.6,-0.6,33,35,30,4,83,Matches
Ander Herrera,CMR,28,15.6,864,990,87.3,14140,4055,16,36,44.4,733,796,92.1,115,158,72.8,3,1.0,#ERROR!,12,62,10,1,84,Matches
Phil Jones,CBL,26,14.0,692,748,92.5,14538,4036,2,5,40.0,475,510,93.1,215,233,92.3,1,0.6,#ERROR!,3,31,2,0,31,Matches
Diogo Dalot,LB,19,11.3,395,556,71.0,7185,2625,4,20,20.0,306,388,78.9,85,148,57.4,2,1.8,#ERROR!,17,23,14,7,69,Matches
