,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Martin Dúbravka,GK,29,38.0,686,1152,59.5,26442,18423,1,4,25.0,257,260,98.8,428,888,48.2,0,0.0,0.0,0,21,0,0,0,Matches
Matt Ritchie,LW,28,32.7,1036,1580,65.6,20299,8289,14,86,16.3,782,959,81.5,240,535,44.9,8,4.5,#ERROR!,53,63,46,28,216,Matches
Ayoze Pérez,FWL,25,32.5,609,812,75.0,9229,2371,21,63,33.3,517,629,82.2,71,120,59.2,2,3.3,-1.3,38,46,25,4,68,Matches
Jamaal Lascelles,CB,24,30.5,836,1087,76.9,18344,6066,7,22,31.8,553,673,82.2,276,392,70.4,1,0.3,#ERROR!,2,42,0,0,53,Matches
Salomón Rondón,FWR,28,29.0,538,772,69.7,7637,1552,21,53,39.6,454,619,73.3,63,100,63.0,7,3.3,#ERROR!,30,42,22,3,55,Matches
DeAndre Yedlin,RW,25,27.5,784,1097,71.5,13744,6354,9,37,24.3,641,790,81.1,134,270,49.6,2,2.6,-0.6,29,47,31,13,156,Matches
Fabian Schär,CBR,26,22.3,699,1029,67.9,18070,8149,2,20,10.0,402,488,82.4,295,521,56.6,1,0.6,#ERROR!,11,86,9,1,77,Matches
Isaac Hayden,CMR,23,20.7,581,724,80.2,9817,2178,9,28,32.1,469,549,85.4,103,147,70.1,4,1.7,#ERROR!,20,49,10,2,55,Matches
Christian Atsu,CML,26,16.5,335,454,73.8,5193,1161,12,32,37.5,283,342,82.7,40,80,50.0,0,1.3,-1.3,14,23,17,5,31,Matches
Florian Lejeune,CBL,27,11.7,427,554,77.1,10966,3864,0,8,0.0,258,309,83.5,169,237,71.3,0,0.2,-0.2,3,49,3,0,33,Matches
Sean Longstaff,DM,20,7.6,236,295,80.0,4937,1046,1,5,20.0,167,191,87.4,68,99,68.7,0,0.5,-0.5,5,29,6,1,27,Matches
