,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Onome Ebi,CBR,36,4.0,48,89,53.9,1238,551,1,5,20.0,24,30,80.0,23,54,42.6,0,0.0,0.0,0,4,1,0,2,Matches
Osinachi Ohale,CBL,27,4.0,61,93,65.6,1393,782,0,2,0.0,43,50,86.0,18,41,43.9,0,0.1,-0.1,1,4,0,0,11,Matches
Ngozi Okobi,DM,25,4.0,73,110,66.4,1526,452,0,1,0.0,51,61,83.6,22,48,45.8,0,0.1,-0.1,4,8,1,0,10,Matches
Francisca Ordega,LW,25,3.8,41,76,53.9,779,286,1,5,20.0,30,51,58.8,10,20,50.0,0,0.0,0.0,1,1,3,0,6,Matches
Desire Oparanozie,FW,25,3.8,42,54,77.8,821,64,1,4,25.0,32,37,86.5,9,13,69.2,0,0.2,-0.2,2,2,0,0,2,Matches
Chidinma Okeke,RB,18,3.4,91,139,65.5,1886,1111,0,8,0.0,63,85,74.1,28,46,60.9,1,0.4,#ERROR!,1,7,1,0,16,Matches
Rita Chikwelu,CML,31,3.0,52,86,60.5,1168,425,1,5,20.0,32,49,65.3,19,32,59.4,0,0.4,-0.4,2,9,2,1,12,Matches
Chiamaka Nnadozie,GK,18,3.0,26,76,34.2,1015,804,0,0,,8,8,100.0,18,68,26.5,0,0.0,0.0,0,1,1,0,0,Matches
Asisat Oshoala,RW,24,2.9,36,53,67.9,733,117,1,2,50.0,27,35,77.1,8,16,50.0,0,0.0,0.0,0,2,1,0,6,Matches
Ngozi Ebere,LB,27,2.8,76,123,61.8,1616,972,1,4,25.0,54,69,78.3,21,50,42.0,0,0.4,-0.4,4,0,3,2,16,Matches
Chinaza Uchendu,CMR,21,1.3,38,54,70.4,719,200,0,1,0.0,32,40,80.0,6,13,46.2,0,0.1,-0.1,2,3,1,0,6,Matches
