,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Ingrid Hjelmseth,GK,39,5.3,133,184,72.3,3513,2272,0,0,,78,79,98.7,55,105,52.4,0,0.0,0.0,0,0,0,0,0,Matches
Kristine Minde,LB,26,5.3,150,205,73.2,2319,1112,1,6,16.7,136,170,80.0,13,29,44.8,0,0.2,-0.2,2,1,3,0,28,Matches
Maren Mjelde,CBR,29,5.3,268,305,87.9,5292,1909,0,5,0.0,214,225,95.1,54,75,72.0,0,0.1,-0.1,1,9,1,0,25,Matches
Ingrid Syrstad Engen,CML,21,5.3,198,258,76.7,3498,949,0,7,0.0,172,213,80.8,26,38,68.4,0,0.2,-0.2,5,20,3,0,21,Matches
Maria Thorisdottir,CBL,26,5.3,222,277,80.1,4890,1949,0,1,0.0,153,177,86.4,69,99,69.7,0,0.0,0.0,1,11,0,0,24,Matches
Vilde Bøe Risa,CMR,23,5.3,201,256,78.5,3744,1400,1,11,9.1,158,179,88.3,42,66,63.6,0,0.4,-0.4,4,25,6,1,29,Matches
Guro Reiten,LW,24,5.2,110,176,62.5,1968,712,3,10,30.0,87,116,75.0,20,50,40.0,1,1.2,-0.2,15,8,8,2,25,Matches
Ingrid Moe Wold,RB,29,5.0,173,217,79.7,2862,1410,3,10,30.0,151,171,88.3,19,36,52.8,0,0.0,0.0,0,20,1,1,39,Matches
Caroline Graham Hansen,RW,24,4.9,92,159,57.9,1639,508,2,14,14.3,70,102,68.6,20,43,46.5,1,1.0,0.0,11,6,7,1,20,Matches
Isabell Herlovsen,FWR,30,4.6,63,85,74.1,819,150,2,8,25.0,57,70,81.4,4,7,57.1,0,0.1,-0.1,1,4,2,0,7,Matches
Lisa-Marie Karlseng Utland,FWL,26,2.3,29,44,65.9,469,48,2,5,40.0,24,35,68.6,3,4,75.0,0,0.0,0.0,0,0,1,0,1,Matches
