,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Katie Bowen,DM,25,3.0,74,99,74.7,1136,478,0,3,0.0,65,79,82.3,9,17,52.9,0,0.0,0.0,1,4,2,1,12,Matches
Abby Erceg,CB,29,3.0,64,84,76.2,1408,576,0,0,,42,52,80.8,22,32,68.8,0,0.0,0.0,0,3,0,0,3,Matches
Erin Nayler,GK,27,3.0,53,112,47.3,2201,1730,0,0,,10,11,90.9,43,101,42.6,0,0.0,0.0,0,0,0,0,1,Matches
Ria Percival,CMR,29,3.0,65,111,58.6,1424,528,0,1,0.0,46,67,68.7,19,43,44.2,0,0.0,0.0,2,6,4,1,13,Matches
Ali Riley,LW,31,3.0,105,153,68.6,2031,1258,0,5,0.0,79,100,79.0,26,48,54.2,0,0.3,-0.3,3,8,3,3,31,Matches
Rebekah Stott,CBR,25,3.0,76,112,67.9,1431,673,2,6,33.3,54,67,80.6,20,39,51.3,0,0.0,0.0,0,8,2,0,11,Matches
Olivia Chance,CML,25,3.0,48,75,64.0,816,189,1,3,33.3,40,52,76.9,7,20,35.0,0,0.0,0.0,0,3,0,0,5,Matches
Rosie White,FWL,26,2.8,47,72,65.3,740,185,4,7,57.1,38,55,69.1,5,10,50.0,0,0.1,-0.1,1,4,2,1,8,Matches
Sarah Gregorius,FWR,31,2.5,32,48,66.7,400,76,2,4,50.0,28,40,70.0,2,4,50.0,0,0.0,0.0,1,1,0,0,3,Matches
Anna Green,CBL,28,1.1,27,45,60.0,623,364,1,6,16.7,18,21,85.7,8,18,44.4,0,0.0,0.0,0,6,2,0,5,Matches
Katie Duncan,RW,31,0.8,30,38,78.9,481,177,1,1,100.0,23,29,79.3,6,8,75.0,0,0.0,0.0,1,6,0,0,7,Matches
