,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Nathan Redmond,FWR,24,36.4,877,1215,72.2,14892,3753,23,78,29.5,685,861,79.6,169,276,61.2,4,5.3,-1.3,55,62,61,22,111,Matches
Pierre Højbjerg,CML,22,30.7,1495,1824,82.0,28938,7067,13,43,30.2,1136,1304,87.1,346,477,72.5,3,2.4,#ERROR!,27,213,19,5,165,Matches
Alex McCarthy,GK,28,25.0,318,637,49.9,12362,9009,0,2,0.0,121,122,99.2,197,513,38.4,0,0.0,0.0,0,17,0,0,0,Matches
Oriol Romeu,DM,26,23.8,898,1116,80.5,16595,5119,14,36,38.9,710,819,86.7,174,261,66.7,0,0.3,-0.3,7,121,10,2,130,Matches
Ryan Bertrand,LW,28,24.0,795,1094,72.7,13308,6080,10,44,22.7,666,791,84.2,119,259,45.9,0,2.0,-2.0,23,68,29,13,161,Matches
Jan Bednarek,CBR,22,23.9,591,849,69.6,12101,5559,6,15,40.0,423,534,79.2,162,300,54.0,1,0.4,#ERROR!,7,53,2,0,71,Matches
Jannik Vestergaard,CBL,25,22.6,671,887,75.6,13485,5150,5,18,27.8,495,583,84.9,171,286,59.8,0,0.6,-0.6,6,66,2,0,73,Matches
Danny Ings,FWL,26,18.5,287,417,68.8,4558,1194,13,25,52.0,231,312,74.0,43,80,53.8,3,2.6,#ERROR!,25,32,16,2,42,Matches
James Ward-Prowse,CMR,23,21.6,622,913,68.1,11436,3571,8,29,27.6,485,582,83.3,129,302,42.7,0,3.1,-3.1,44,52,12,5,88,Matches
Yan Valery,RW,19,19.0,380,621,61.2,6565,2881,5,30,16.7,314,424,74.1,61,167,36.5,1,0.2,#ERROR!,5,31,7,3,83,Matches
Maya Yoshida,CB,29,16.9,424,543,78.1,8508,2929,8,12,66.7,295,342,86.3,121,189,64.0,1,0.4,#ERROR!,6,35,2,0,33,Matches
