,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Noko Matlou,CBL,33,3.0,65,94,69.1,1481,391,1,5,20.0,39,50,78.0,25,39,64.1,0,0.0,0.0,0,3,0,0,3,Matches
Lebogang Ramalepe,RB,27,3.0,94,151,62.3,1430,737,0,6,0.0,86,117,73.5,8,28,28.6,0,0.0,0.0,0,2,0,0,10,Matches
Janine van Wyk,CBR,32,3.0,73,107,68.2,1620,575,0,1,0.0,48,63,76.2,25,43,58.1,0,0.0,0.0,0,2,0,0,1,Matches
Kholosa Biyana,CML,24,3.0,69,101,68.3,1394,337,1,8,12.5,48,63,76.2,20,30,66.7,0,0.1,-0.1,3,5,0,0,8,Matches
Refiloe Jane,LW,26,2.9,56,80,70.0,1265,374,0,8,0.0,37,41,90.2,19,31,61.3,0,0.5,-0.5,2,3,2,0,7,Matches
Ode Fulutudilu,FW,29,2.0,15,21,71.4,260,34,1,3,33.3,11,13,84.6,3,5,60.0,0,0.1,-0.1,1,3,0,0,1,Matches
Thembi Kgatlana,RW,23,2.5,24,37,64.9,398,16,0,2,0.0,22,29,75.9,2,6,33.3,0,0.0,0.0,0,1,0,0,1,Matches
Mamello Makhabane,CMR,31,2.0,71,89,79.8,1208,249,2,6,33.3,57,66,86.4,12,17,70.6,0,0.3,-0.3,4,8,1,0,6,Matches
Bambanani Mbane,DM,29,1.0,24,27,88.9,495,75,1,1,100.0,17,18,94.4,6,8,75.0,0,0.0,0.0,0,0,0,0,0,Matches
Kaylin Swart,GK,24,1.0,21,60,35.0,782,567,0,0,,6,7,85.7,15,53,28.3,0,0.0,0.0,0,0,0,0,0,Matches
Sibulele Holweni,LB,18,0.8,18,31,58.1,298,125,0,2,0.0,17,21,81.0,1,8,12.5,0,0.0,0.0,0,1,0,0,3,Matches
