,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Hedvig Lindahl,GK,36,7.3,155,241,64.3,5226,3562,0,0,,75,76,98.7,80,165,48.5,0,0.0,0.0,0,3,0,0,3,Matches
Linda Sembrant,CBL,32,7.3,263,308,85.4,6083,2334,1,5,20.0,159,174,91.4,103,129,79.8,1,0.3,#ERROR!,1,34,0,0,32,Matches
Caroline Seger,CML,34,6.8,304,363,83.7,5363,1728,5,12,41.7,245,281,87.2,54,70,77.1,0,0.0,0.0,1,34,6,0,55,Matches
Kosovare Asllani,AM,29,6.7,170,248,68.5,3008,902,3,8,37.5,129,165,78.2,38,75,50.7,2,2.2,-0.2,15,23,12,1,37,Matches
Hanna Glas,RB,26,6.6,263,331,79.5,4518,2145,2,9,22.2,227,257,88.3,34,65,52.3,0,0.3,-0.3,5,13,8,2,60,Matches
Sofia Jakobsson,RW,29,6.3,61,130,46.9,941,400,2,15,13.3,52,78,66.7,7,37,18.9,0,0.3,-0.3,4,7,4,1,13,Matches
Magdalena Eriksson,LB,25,6.2,239,373,64.1,4924,2482,1,7,14.3,170,230,73.9,68,136,50.0,1,0.8,#ERROR!,8,24,10,5,77,Matches
Nilla Fischer,CBR,34,6.1,283,337,84.0,6396,2251,0,5,0.0,182,206,88.3,101,126,80.2,0,0.1,-0.1,4,39,0,0,36,Matches
Stina Blackstenius,FW,23,6.0,63,91,69.2,973,100,3,6,50.0,55,74,74.3,5,11,45.5,1,0.1,#ERROR!,4,4,0,0,2,Matches
Fridolina Rolfö,LW,25,3.9,99,151,65.6,1739,510,0,6,0.0,83,110,75.5,16,35,45.7,0,1.0,-1.0,8,7,7,2,20,Matches
Nathalie Björn,CMR,22,2.0,64,81,79.0,1184,497,0,3,0.0,49,57,86.0,15,21,71.4,0,0.1,-0.1,2,7,0,0,10,Matches
