,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Hugo Lloris,GK,31,33.0,890,1169,76.1,28106,16314,0,0,,408,413,98.8,482,756,63.8,0,0.0,0.0,1,10,0,0,0,Matches
Toby Alderweireld,CBL,29,32.5,2067,2342,88.3,50426,14985,2,12,16.7,1242,1326,93.7,823,1004,82.0,0,0.5,-0.5,7,193,23,1,133,Matches
Christian Eriksen,AM,26,30.8,1540,1985,77.6,28609,7805,22,66,33.3,1204,1408,85.5,314,511,61.4,12,6.8,#ERROR!,75,181,55,11,228,Matches
Harry Kane,FW,25,27.0,423,575,73.6,8165,2156,9,30,30.0,312,393,79.4,102,152,67.1,4,4.0,0.0,29,58,17,3,81,Matches
Moussa Sissoko,CMR,28,26.0,1205,1397,86.3,20391,4909,32,58,55.2,987,1096,90.1,186,243,76.5,3,2.4,#ERROR!,23,106,13,3,102,Matches
Kieran Trippier,RB,27,25.3,1515,2000,75.8,29627,11796,10,47,21.3,1130,1301,86.9,375,652,57.5,3,4.1,-1.1,48,94,65,30,262,Matches
Son Heung-min,LW,26,22.7,646,772,83.7,9639,1947,15,48,31.3,560,632,88.6,71,92,77.2,6,3.2,#ERROR!,31,31,31,4,71,Matches
Dele Alli,RW,22,20.4,843,1050,80.3,13914,3358,22,58,37.9,702,821,85.5,119,171,69.6,3,2.5,#ERROR!,28,81,32,2,99,Matches
Ben Davies,LB,25,20.4,1071,1314,81.5,18467,7269,8,35,22.9,894,1008,88.7,169,271,62.4,0,2.1,-2.1,17,82,21,7,145,Matches
Danny Rose,CBR,28,20.0,869,1173,74.1,15202,5536,10,47,21.3,722,858,84.1,137,268,51.1,3,1.9,#ERROR!,26,58,34,16,130,Matches
Harry Winks,CML,22,17.7,1286,1398,92.0,23997,4992,20,34,58.8,971,1026,94.6,295,338,87.3,0,0.2,-0.2,6,136,13,0,85,Matches
