,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Ben Foster,GK,35,38,600,1242,48.3,28046,23821,0,3,0,160,167,95.8,440,1072,41,0,0.3,-0.3,7,44,1,0,2,Matches
Craig Cathcart,CBL,29,34.4,1046,1278,81.8,22783,7703,13,24,54.2,685,761,90,348,493,70.6,0,0.4,-0.4,1,61,3,1,64,Matches
Abdoulaye Doucouré,CMR,25,34,1640,1967,83.4,28537,6923,29,73,39.7,1318,1519,86.8,293,375,78.1,6,4,#ERROR!,37,149,36,4,165,Matches
Étienne Capoue,CML,30,32.7,1482,1778,83.4,29212,8003,23,38,60.5,1104,1262,87.5,355,478,74.3,3,0.9,#ERROR!,9,152,18,1,164,Matches
Roberto Pereyra,LW,27,31.4,967,1187,81.5,16179,4456,22,64,34.4,788,910,86.6,157,213,73.7,1,3.3,-2.3,38,71,37,5,125,Matches
Will Hughes,RW,23,27.1,773,1007,76.8,11520,3796,29,64,45.3,653,785,83.2,91,158,57.6,4,3.3,#ERROR!,28,65,29,5,108,Matches
Troy Deeney,FWL,30,28.3,522,836,62.4,7505,2717,16,48,33.3,448,653,68.6,58,135,43,5,4.6,#ERROR!,40,61,42,3,109,Matches
José Holebas,LB,34,26.6,819,1330,61.6,16549,7823,15,55,27.3,581,719,80.8,223,556,40.1,6,3.6,#ERROR!,36,53,16,10,175,Matches
Gerard Deulofeu,FWR,24,23.1,580,795,73,9204,2193,13,52,25,483,598,80.8,84,145,57.9,5,4.6,#ERROR!,30,40,43,5,85,Matches
Kiko Femenía,LR,27,22.7,950,1174,80.9,16155,6758,10,28,35.7,789,901,87.6,151,245,61.6,1,2,-1,15,66,26,13,131,Matches
Adrian Mariappa,CBR,31,21.3,736,879,83.7,15862,5860,6,12,50,492,541,90.9,238,326,73,0,0.7,-0.7,5,47,3,1,44,Matches
