,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,01-mar,PPA,CrsPA,Prog,Matches
Łukasz Fabiański,GK,33,38,651,1204,54.1,27972,20620,2,3,66.7,190,192,99,459,1009,45.5,0,0.2,-0.2,3,19,0,0,0,Matches
Felipe Anderson,LW,25,33.9,1328,1819,73,22850,7749,52,125,41.6,1042,1271,82,234,423,55.3,4,6.7,-2.7,60,109,89,13,223,Matches
Declan Rice,CMR,19,33.4,1364,1570,86.9,26601,5928,17,36,47.2,1002,1119,89.5,345,415,83.1,0,0.4,-0.4,9,127,5,0,85,Matches
Issa Diop,CBL,21,33,973,1141,85.3,19676,6689,12,25,48,688,780,88.2,273,336,81.3,0,0.1,-0.1,2,42,0,0,64,Matches
Mark Noble,CML,31,25.6,1293,1533,84.3,26334,7460,21,39,53.8,919,1044,88,353,450,78.4,5,2.2,#ERROR!,21,140,28,5,163,Matches
Marko Arnautović,FW,29,22.2,496,655,75.7,7602,1359,20,51,39.2,405,511,79.3,71,93,76.3,4,3.7,#ERROR!,33,21,17,2,46,Matches
Fabián Balbuena,CBR,26,22.4,655,838,78.2,13925,5702,5,13,38.5,450,523,86,200,302,66.2,0,0.1,-0.1,3,33,0,0,42,Matches
Michail Antonio,RW,28,23.3,513,777,66,8177,2307,14,49,28.6,434,574,75.6,65,154,42.2,4,3.3,#ERROR!,20,43,19,8,76,Matches
Arthur Masuaku,LB,24,19.5,878,1092,80.4,15287,6277,14,38,36.8,711,802,88.7,153,252,60.7,1,1.5,-0.5,15,65,13,6,91,Matches
Ryan Fredericks,RB,25,12.1,397,548,72.4,6041,2556,5,23,21.7,348,426,81.7,44,99,44.4,0,0.2,-0.2,3,18,8,6,48,Matches
Manuel Lanzini,AM,25,7.7,408,471,86.6,5682,1754,19,27,70.4,359,393,91.3,30,51,58.8,1,0.9,#ERROR!,6,28,7,0,42,Matches
