,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Conor Coady,CB,25,38.0,1412,1677,84.2,39228,12627,6,10,60.0,640,691,92.6,766,976,78.5,0,0.0,0.0,0,119,5,0,61,Matches
Rui Patrício,GK,30,37.0,493,835,59.0,19806,13496,0,0,,145,147,98.6,348,688,50.6,0,0.0,0.0,0,5,0,0,0,Matches
Raúl Jiménez,FWR,27,34.7,789,1072,73.6,12606,2289,20,64,31.3,649,823,78.9,120,185,64.9,7,7.0,0.0,42,44,39,5,81,Matches
João Moutinho,CML,31,33.8,1660,2063,80.5,35146,9787,15,32,46.9,1170,1309,89.4,475,722,65.8,8,5.6,#ERROR!,80,195,45,14,263,Matches
Ryan Bennett,CBR,28,34.0,1095,1387,78.9,23131,7322,13,20,65.0,747,852,87.7,335,515,65.0,0,0.5,-0.5,5,97,2,0,95,Matches
Rúben Neves,CMR,21,33.4,1569,1946,80.6,37264,9235,7,40,17.5,981,1122,87.4,581,784,74.1,3,1.3,#ERROR!,19,198,17,3,176,Matches
Jonny Castro,RW,24,30.9,1124,1394,80.6,17057,5537,16,59,27.1,1004,1151,87.2,104,184,56.5,1,1.6,-0.6,25,38,22,5,107,Matches
Diogo Jota,FWL,21,26.3,597,788,75.8,9659,2057,13,47,27.7,511,624,81.9,73,117,62.4,5,3.8,#ERROR!,27,48,24,6,78,Matches
Leander Dendoncker,DM,23,16.3,504,625,80.6,8274,1826,11,31,35.5,411,486,84.6,82,108,75.9,0,1.1,-1.1,7,28,7,1,37,Matches
Romain Saïss,CBL,28,12.7,553,706,78.3,12205,3854,2,19,10.5,367,432,85.0,184,255,72.2,0,0.3,-0.3,3,60,5,2,59,Matches
Rúben Vinagre,LW,19,7.8,301,424,71.0,4792,1804,2,18,11.1,263,330,79.7,36,76,47.4,0,0.8,-0.8,6,18,7,6,50,Matches
