,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Sara Däbritz,LW,24,5.0,3,1,1,19,10,1,52.6,3.80,2.00,0.11,0.20,3.7,2.9,0.15,-0.7,-0.9,Matches
Sara Doorsoun,CBR,27,5.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Giulia Gwinn,RB,19,5.0,1,0,0,7,4,0,57.1,1.40,0.80,0.14,0.25,0.2,0.2,0.03,#ERROR!,#ERROR!,Matches
Marina Hegering,CBL,29,5.0,0,0,0,5,1,0,20.0,1.00,0.20,0.00,0.00,0.8,0.8,0.16,-0.8,-0.8,Matches
Alexandra Popp,FWR,28,5.0,2,0,0,15,5,0,33.3,3.00,1.00,0.13,0.40,1.9,1.9,0.12,#ERROR!,#ERROR!,Matches
Almuth Schult,GK,28,5.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Svenja Huth,RW,28,4.6,0,0,0,8,2,0,25.0,1.73,0.43,0.00,0.00,0.7,0.7,0.09,-0.7,-0.7,Matches
Lina Magull,CML,24,3.3,2,0,0,8,3,2,37.5,2.39,0.90,0.25,0.67,2.0,2.0,0.26,0.0,0.0,Matches
Melanie Leupolz,CMR,25,2.3,1,0,0,3,2,0,66.7,1.30,0.87,0.33,0.50,0.3,0.3,0.10,#ERROR!,#ERROR!,Matches
Verena Faißt,LB,30,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lea Schüller,FWL,21,2.1,1,0,0,3,3,0,100.0,1.44,1.44,0.33,0.33,0.5,0.5,0.18,#ERROR!,#ERROR!,Matches
