,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Bernd Leno,GK,26,31.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Shkodran Mustafi,RB,26,29.1,2,0,0,19,9,0,47.4,0.65,0.31,0.11,0.22,1.3,1.3,0.07,#ERROR!,#ERROR!,Matches
Pierre-Emerick Aubameyang,FW,29,30.4,22,4,5,89,34,0,38.2,2.93,1.12,0.20,0.53,20.7,16.7,0.19,#ERROR!,#ERROR!,Matches
Granit Xhaka,CML,25,27.8,4,0,0,30,11,7,36.7,01.08,0.40,0.13,0.36,1.5,1.5,0.05,#ERROR!,#ERROR!,Matches
Sokratis Papastathopoulos,CBR,30,24.4,1,0,0,10,1,0,10.0,0.41,0.04,0.10,1.00,0.8,0.8,0.08,#ERROR!,#ERROR!,Matches
Lucas Torreira,CMR,22,26.4,2,0,0,24,6,2,25.0,0.91,0.23,0.08,0.33,1.5,1.5,0.06,#ERROR!,#ERROR!,Matches
Nacho Monreal,LB,32,20.7,1,0,0,9,4,0,44.4,0.44,0.19,0.11,0.25,1.2,1.2,0.14,-0.2,-0.2,Matches
Mesut Özil,LW,29,19.3,5,0,0,11,6,0,54.5,0.57,0.31,0.45,0.83,1.7,1.7,0.16,#ERROR!,#ERROR!,Matches
Henrikh Mkhitaryan,RW,29,18.3,6,0,0,50,14,1,28.0,2.74,0.77,0.12,0.43,4.3,4.3,0.09,#ERROR!,#ERROR!,Matches
Aaron Ramsey,AM,27,14.8,4,0,0,33,12,0,36.4,2.24,0.81,0.12,0.33,3.0,3.0,0.09,#ERROR!,#ERROR!,Matches
Laurent Koscielny,CBL,32,14.8,3,0,0,5,4,0,80.0,0.34,0.27,0.60,0.75,2.0,2.0,0.40,#ERROR!,#ERROR!,Matches
