,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ellie Carpenter,RB,19,4.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Steph Catley,CBL,25,4.3,0,1,1,0,0,0,,0.00,0.00,,,0.8,0.0,,-0.8,-1.0,Matches
Sam Kerr,FW,25,4.3,5,0,2,18,11,0,61.1,4.15,2.54,0.28,0.45,4.3,2.6,0.15,#ERROR!,#ERROR!,Matches
Lydia Williams,GK,31,4.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Emily van Egmond,DM,25,4.3,0,0,0,1,0,0,0.0,0.23,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Alanna Kennedy,CBR,24,4.1,0,0,0,5,0,0,0.0,1.21,0.00,0.00,,0.2,0.2,0.03,-0.2,-0.2,Matches
Chloe Logarzo,CML,24,4.0,1,0,0,5,2,0,40.0,1.25,0.50,0.20,0.50,0.3,0.3,0.06,#ERROR!,#ERROR!,Matches
Caitlin Foord,LW,24,3.7,1,0,0,6,3,0,50.0,1.63,0.82,0.17,0.33,0.9,0.9,0.16,#ERROR!,#ERROR!,Matches
Tameka Butt,CMR,27,3.3,0,0,0,6,1,0,16.7,1.84,0.31,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
Elise Kellond-Knight,LB,28,2.1,1,0,0,4,1,1,25.0,1.88,0.47,0.25,1.00,0.1,0.1,0.03,#ERROR!,#ERROR!,Matches
Emily Gielnik,RW,27,2.0,0,0,1,1,1,0,100.0,0.51,0.51,0.00,0.00,0.8,0.0,0.02,-0.8,0.0,Matches
