,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Nathan Aké,LB,23,37.9,4,0,0,22,8,0,36.4,0.58,0.21,0.18,0.5,3.5,3.5,0.16,#ERROR!,#ERROR!,Matches
Ryan Fraser,LW,24,35.3,7,0,0,50,24,3,48,1.42,0.68,0.14,0.29,4.7,4.7,0.09,#ERROR!,#ERROR!,Matches
Joshua King,FWR,26,33,12,5,6,64,18,0,28.1,1.94,0.54,0.11,0.39,12.7,8.1,0.13,-0.7,-1.1,Matches
Steve Cook,CBL,27,31,1,0,0,22,8,0,36.4,0.71,0.26,0.05,0.13,1.1,1.1,0.05,-0.1,-0.1,Matches
Callum Wilson,FWL,26,28.2,14,1,2,63,27,0,42.9,2.24,0.96,0.21,0.48,14.3,12.8,0.2,-0.3,#ERROR!,Matches
Jefferson Lerma,CML,23,27.9,2,0,0,33,8,0,24.2,1.18,0.29,0.06,0.25,1.1,1.1,0.03,#ERROR!,#ERROR!,Matches
David Brooks,RW,21,25.3,7,0,0,41,21,0,51.2,1.62,0.83,0.17,0.33,5.5,5.5,0.13,#ERROR!,#ERROR!,Matches
Adam Smith,LR,27,23,1,0,0,8,1,0,12.5,0.35,0.04,0.13,1,0.4,0.4,0.05,#ERROR!,#ERROR!,Matches
Dan Gosling,CMR,28,19.3,2,0,0,21,7,0,33.3,1.09,0.36,0.1,0.29,1.5,1.5,0.07,#ERROR!,#ERROR!,Matches
Artur Boruc,GK,38,12,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Chris Mepham,CBR,20,9.4,0,0,0,2,0,0,0,0.21,0,0,,0,0,0.02,0,0,Matches
