,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Bárbara,GK,30,4.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Debinha,LW,27,4.3,0,0,0,12,4,0,33.3,2.77,0.92,0.00,0.00,1.1,1.1,0.09,-1.1,-1.1,Matches
Mônica,CBL,41,4.3,0,0,0,2,0,0,0.0,0.46,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Tamires,LB,31,4.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Thaisa,CML,30,4.3,1,0,0,4,1,0,25.0,0.92,0.23,0.25,1.00,0.3,0.3,0.07,#ERROR!,#ERROR!,Matches
Kathellen,CBR,23,4.2,0,0,0,2,0,0,0.0,0.48,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Letícia Santos,RB,24,3.8,0,0,0,1,0,0,0.0,0.26,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Cristiane,FWL,34,3.3,4,0,0,9,7,1,77.8,2.69,02.09,0.44,0.57,1.1,1.1,0.12,#ERROR!,#ERROR!,Matches
Formiga,CMR,41,2.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Andressa,RW,26,2.0,0,0,1,3,1,1,33.3,1.50,0.50,0.00,0.00,0.9,0.1,0.04,-0.9,-0.1,Matches
Beatriz,FWR,25,1.7,0,0,0,4,0,0,0.0,2.34,0.00,0.00,,0.5,0.5,0.12,-0.5,-0.5,Matches
