,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lewis Dunk,CBL,26,35,2,0,0,22,4,1,18.2,0.63,0.11,0.09,0.5,1.4,1.4,0.06,#ERROR!,#ERROR!,Matches
Shane Duffy,CBR,26,34.3,5,0,0,39,14,0,35.9,1.14,0.41,0.13,0.36,2.9,2.9,0.08,#ERROR!,#ERROR!,Matches
Mathew Ryan,GK,26,34,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Davy Pröpper,CML,26,28.3,1,0,0,15,2,0,13.3,0.53,0.07,0.07,0.5,1.1,1.1,0.08,-0.1,-0.1,Matches
Glenn Murray,FW,34,27.9,13,4,4,51,16,0,31.4,1.83,0.57,0.18,0.56,10.5,7.4,0.15,#ERROR!,#ERROR!,Matches
Dale Stephens,DM,29,27.6,1,0,0,10,2,0,20,0.36,0.07,0.1,0.5,0.3,0.3,0.03,#ERROR!,#ERROR!,Matches
Martín Montoya,RB,27,24.1,0,0,0,8,1,0,12.5,0.33,0.04,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Bernardo,LB,23,19.4,0,0,0,8,3,0,37.5,0.41,0.15,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Anthony Knockaert,RW,26,20.4,2,0,0,29,9,2,31,1.42,0.44,0.07,0.22,2.6,2.6,0.09,-0.6,-0.6,Matches
Yves Bissouma,CMR,21,19.7,0,0,0,31,3,3,9.7,1.58,0.15,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
Alireza Jahanbakhsh,LW,24,11.3,0,0,0,22,7,0,31.8,1.94,0.62,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
