,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ben Mee,CBL,28,38,0,0,0,23,6,0,26.1,0.61,0.16,0,0,1.6,1.6,0.07,-1.6,-1.6,Matches
Jack Cork,CML,29,36.8,1,0,0,15,2,0,13.3,0.41,0.05,0.07,0.5,1.6,1.6,0.11,-0.6,-0.6,Matches
Charlie Taylor,LB,24,36,0,0,0,6,0,0,0,0.17,0,0,,0.1,0.1,0.02,-0.1,-0.1,Matches
James Tarkowski,CBR,25,34.3,3,0,0,24,8,0,33.3,0.7,0.23,0.13,0.38,3.5,3.5,0.15,-0.5,-0.5,Matches
Ashley Westwood,CMR,28,31.4,2,0,0,22,7,1,31.8,0.7,0.22,0.09,0.29,2.1,2.1,0.1,-0.1,-0.1,Matches
Chris Wood,FWL,26,28.8,10,0,0,58,23,0,39.7,2.01,0.8,0.17,0.43,8.9,8.9,0.15,#ERROR!,#ERROR!,Matches
Ashley Barnes,FWR,28,26.5,12,2,2,61,27,0,44.3,2.3,1.02,0.16,0.37,11.6,10.1,0.17,#ERROR!,-0.1,Matches
Jeff Hendrick,RW,26,23,3,0,0,19,6,1,31.6,0.83,0.26,0.16,0.5,1.6,1.6,0.08,#ERROR!,#ERROR!,Matches
Tom Heaton,GK,32,19,0,0,0,1,0,0,0,0.05,0,0,,0,0,0.04,0,0,Matches
Phil Bardsley,LR,33,18.6,0,0,0,12,1,0,8.3,0.65,0.05,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
Dwight McNeil,LW,18,17.8,3,0,0,28,6,4,21.4,1.58,0.34,0.11,0.5,1.8,1.8,0.06,#ERROR!,#ERROR!,Matches
