,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Raissa Feudjio,DM,23,4.0,0,0,0,4,0,0,0.0,1.00,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Estelle Johnson,CBL,30,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Yvonne Leuko,LB,27,4.0,0,0,0,1,0,0,0.0,0.25,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Annette Ngo Ndom,GK,34,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Gabrielle Onguene,LW,30,4.0,1,0,0,10,4,0,40.0,2.50,1.00,0.10,0.25,1.9,1.9,0.20,-0.9,-0.9,Matches
Jeannette Yango,CMR,26,3.8,0,0,0,3,1,0,33.3,0.78,0.26,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
Ajara Nchout,CML,26,3.1,2,0,0,5,2,0,40.0,1.62,0.65,0.40,1.00,0.7,0.7,0.14,#ERROR!,#ERROR!,Matches
Aurelle Awona,CBR,26,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Michaela Abam,RW,22,2.4,0,0,0,2,0,0,0.0,0.83,0.00,0.00,,0.3,0.3,0.14,-0.3,-0.3,Matches
Gaëlle Enganamouit,FW,27,2.3,0,0,0,6,1,0,16.7,2.65,0.44,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Augustine Ejangue,RB,30,1.7,0,0,0,1,0,0,0.0,0.58,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
