,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Kadeisha Buchanan,CBR,23,4.0,1,0,0,2,1,0,50.0,0.50,0.25,0.50,1.00,0.5,0.5,0.27,#ERROR!,#ERROR!,Matches
Jessie Fleming,FWL,21,4.0,1,0,0,3,1,0,33.3,0.75,0.25,0.33,1.00,0.4,0.4,0.13,#ERROR!,#ERROR!,Matches
Stephanie Labbé,GK,32,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Ashley Lawrence,RB,24,4.0,0,0,0,7,0,0,0.0,1.75,0.00,0.00,,0.2,0.2,0.02,-0.2,-0.2,Matches
Sophie Schmidt,CML,30,4.0,0,0,0,5,1,1,20.0,1.25,0.25,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
Shelina Zadorsky,CBL,26,4.0,0,0,0,1,0,0,0.0,0.25,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
Desiree Scott,CMR,31,3.9,0,0,0,2,0,0,0.0,0.52,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Janine Beckie,LW,24,3.9,0,0,1,16,5,0,31.3,4.15,1.30,0.00,0.00,1.8,1.0,0.06,-1.8,-1.0,Matches
Christine Sinclair,FWR,36,3.8,1,0,0,13,1,3,7.7,3.45,0.27,0.08,1.00,1.6,1.6,0.12,-0.6,-0.6,Matches
Allysha Chapman,LB,30,2.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Nichelle Prince,RW,24,2.5,1,0,0,7,3,0,42.9,2.83,1.21,0.14,0.33,1.6,1.6,0.22,-0.6,-0.6,Matches
