,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Neil Etheridge,GK,28,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Bruno Ecuele Manga,CBL,30,37.5,0,0,0,11,2,0,18.2,0.29,0.05,0.00,0.00,1.0,1.0,0.09,-1.0,-1.0,Matches
Sean Morrison,CBR,27,33.8,1,0,0,33,7,0,21.2,0.98,0.21,0.03,0.14,4.4,4.4,0.13,-3.4,-3.4,Matches
Joe Bennett,LB,28,29.3,0,0,0,10,3,3,30.0,0.34,0.10,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
Aron Gunnarsson,CML,29,25.3,1,0,0,20,4,0,20.0,0.79,0.16,0.05,0.25,1.3,1.3,0.07,-0.3,-0.3,Matches
Josh Murphy,LW,23,20.3,3,0,0,45,15,3,33.3,2.22,0.74,0.07,0.20,3.2,3.2,0.07,-0.2,-0.2,Matches
Lee Peltier,RB,31,17.1,0,0,0,1,1,0,100.0,0.06,0.06,0.00,0.00,0.0,0.0,0.05,0.0,0.0,Matches
Bobby Reid,AM,25,15.8,5,1,1,25,7,1,28.0,1.58,0.44,0.16,0.57,4.4,3.6,0.15,#ERROR!,#ERROR!,Matches
Nathaniel Mendez-Laing,RW,26,10.9,4,1,1,20,8,0,40.0,1.83,0.73,0.15,0.38,2.8,2.0,0.10,#ERROR!,#ERROR!,Matches
Kenneth Zohore,FW,24,8.3,1,0,0,17,7,0,41.2,02.05,0.84,0.06,0.14,1.8,1.8,0.11,-0.8,-0.8,Matches
Leandro Bacuna,CMR,26,6.2,0,0,0,5,1,0,20.0,0.81,0.16,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
