,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
César Azpilicueta,RB,28,37.8,1,0,0,17,7,0,41.2,0.45,0.19,0.06,0.14,1.0,1.0,0.06,0.0,0.0,Matches
Jorginho,DM,26,35.2,2,1,1,18,6,0,33.3,0.51,0.17,0.06,0.17,1.5,0.7,0.04,#ERROR!,#ERROR!,Matches
Kepa Arrizabalaga,GK,23,36.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
David Luiz,CBL,31,36.0,3,0,0,33,8,9,24.2,0.92,0.22,0.09,0.38,1.9,1.9,0.06,#ERROR!,#ERROR!,Matches
N'Golo Kanté,CMR,27,34.4,4,0,0,29,6,0,20.7,0.84,0.17,0.14,0.67,2.6,2.6,0.09,#ERROR!,#ERROR!,Matches
Antonio Rüdiger,CBR,25,31.9,1,0,0,28,7,0,25.0,0.88,0.22,0.04,0.14,2.0,2.0,0.07,-1.0,-1.0,Matches
Eden Hazard,LW,27,32.5,16,4,4,90,39,2,43.3,2.77,1.20,0.13,0.31,11.2,8.2,0.09,#ERROR!,#ERROR!,Matches
Marcos Alonso,LB,27,30.7,2,0,0,43,7,8,16.3,1.40,0.23,0.05,0.29,3.0,3.0,0.07,-1.0,-1.0,Matches
Pedro,RW,31,19.8,8,0,0,58,24,0,41.4,2.93,1.21,0.14,0.33,6.4,6.4,0.11,#ERROR!,#ERROR!,Matches
Mateo Kovačić,CML,24,19.4,0,0,0,29,3,0,10.3,1.50,0.15,0.00,0.00,1.7,1.7,0.06,-1.7,-1.7,Matches
Olivier Giroud,FW,31,9.2,2,0,0,31,10,0,32.3,3.35,01.08,0.06,0.20,4.0,4.0,0.13,-2.0,-2.0,Matches
