,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Rosario Balmaceda,RW,20,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Christiane Endler,GK,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Carla Guerrero,CBR,31,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Camila Sáez,CBL,24,3.0,0,0,0,1,0,0,0.0,0.33,0.00,0.00,,0.1,0.1,0.12,-0.1,-0.1,Matches
Daniela Zamora,LW,28,3.0,0,0,0,5,2,0,40.0,1.67,0.67,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
Francisca Lara,LB,28,3.0,0,0,1,4,1,0,25.0,1.34,0.33,0.00,0.00,0.9,0.2,0.04,-0.9,-0.2,Matches
Karen Araya,DM,28,2.5,0,0,0,6,2,1,33.3,2.40,0.80,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
María José Urrutia,FW,25,2.4,1,0,0,8,1,0,12.5,3.32,0.41,0.13,1.00,0.6,0.6,0.07,#ERROR!,#ERROR!,Matches
Yanara Aedo,CML,25,1.9,0,0,0,2,0,0,0.0,01.03,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
Yessenia López,CMR,28,1.8,0,0,0,2,0,0,0.0,01.08,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Rocio Soto,RB,25,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
