,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Wu Haiyan,CBR,26,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Han Peng,RB,29,4.0,0,0,0,3,2,0,66.7,0.75,0.50,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Zhang Rui,CML,30,4.0,0,0,0,6,1,0,16.7,1.50,0.25,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Liu Shanshan,LB,27,4.0,0,0,0,1,1,0,100.0,0.25,0.25,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
Peng Shimeng,GK,21,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lin Yuping,CBL,27,4.0,0,0,0,2,1,0,50.0,0.50,0.25,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
Gu Yasha,LW,28,3.2,0,0,0,2,0,0,0.0,0.63,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Wang Shanshan,FWR,29,3.2,0,0,0,6,0,0,0.0,1.89,0.00,0.00,,0.4,0.4,0.07,-0.4,-0.4,Matches
Wang Shuang,RW,24,3.1,0,0,0,6,1,0,16.7,1.92,0.32,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
Li Ying,FWL,26,2.9,1,0,0,5,1,0,20.0,1.74,0.35,0.20,1.00,0.3,0.3,0.06,#ERROR!,#ERROR!,Matches
Wang Yan,CMR,27,2.6,0,0,0,1,1,0,100.0,0.39,0.39,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
