,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Kim Do-yeon,CBL,30,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lee Geum-min,LW,25,3.0,0,0,0,8,2,0,25.0,2.67,0.67,0.00,0.00,0.7,0.7,0.09,-0.7,-0.7,Matches
Kim Minjung,GK,22,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Jang Sel-gi,LB,25,3.0,0,0,0,3,1,0,33.3,1.00,0.33,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Cho So-hyun,CML,30,3.0,0,0,0,5,1,0,20.0,1.67,0.33,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Ji So-yun,AM,28,3.0,0,0,0,5,1,2,20.0,1.67,0.33,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
Hwang Bo-ram,CBR,31,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Kang Chaerim,RW,21,2.0,0,0,0,3,0,0,0.0,1.50,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Kim Hye-ri,RB,28,2.0,0,0,0,1,0,0,0.0,0.50,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Jung Seol-bin,FW,29,1.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lee Min-ah,CMR,27,1.1,0,0,0,4,1,0,25.0,3.56,0.89,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,Matches
