,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Luka Milivojević,CML,27,38,12,10,11,47,13,16,27.7,1.24,0.34,0.04,0.15,10.9,2.5,0.05,#ERROR!,-0.5,Matches
Patrick van Aanholt,LB,27,35.5,3,0,0,44,12,0,27.3,1.24,0.34,0.07,0.25,2.9,2.9,0.07,#ERROR!,#ERROR!,Matches
James McArthur,CMR,30,34.1,3,0,0,34,8,0,23.5,1,0.23,0.09,0.38,5.6,5.6,0.16,-2.6,-2.6,Matches
Aaron Wan-Bissaka,LR,20,34.8,0,0,0,9,0,0,0,0.26,0,0,,0.5,0.5,0.05,-0.5,-0.5,Matches
Wilfried Zaha,FWL,25,33.8,10,0,0,79,30,0,38,2.34,0.89,0.13,0.33,6.3,6.3,0.08,#ERROR!,#ERROR!,Matches
Andros Townsend,RW,27,33.5,6,0,0,62,17,0,27.4,1.85,0.51,0.1,0.35,5,5,0.08,#ERROR!,#ERROR!,Matches
Vicente Guaita,GK,31,19.5,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Max Meyer,LW,22,15.7,1,0,0,35,6,0,17.1,2.23,0.38,0.03,0.17,2.1,2.1,0.06,-1.1,-1.1,Matches
Martin Kelly,CBR,28,12.3,0,0,0,3,1,0,33.3,0.24,0.08,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches
Michy Batshuayi,FWR,24,8.4,5,0,0,26,10,0,38.5,3.1,1.19,0.19,0.5,3.6,3.6,0.14,#ERROR!,#ERROR!,Matches
Joel Ward,CBL,28,6.1,1,0,0,2,1,0,50,0.33,0.16,0.5,1,0.5,0.5,0.27,#ERROR!,#ERROR!,Matches
