,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lee Alexander,GK,27,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Jennifer Beattie,CBL,28,3.0,1,0,0,3,1,0,33.3,1.00,0.33,0.33,1.00,0.4,0.4,0.15,#ERROR!,#ERROR!,Matches
Rachel Corsie,CBR,29,3.0,0,0,0,2,0,0,0.0,0.67,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Erin Cuthbert,FW,20,3.0,1,0,0,10,3,0,30.0,3.33,1.00,0.10,0.33,1.4,1.4,0.14,-0.4,-0.4,Matches
Kim Little,AM,28,3.0,1,0,0,1,1,0,100.0,0.33,0.33,1.00,1.00,0.6,0.6,0.59,#ERROR!,#ERROR!,Matches
Caroline Weir,CML,23,3.0,0,0,0,4,1,0,25.0,1.33,0.33,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
Lisa Evans,RW,27,2.9,0,0,0,2,1,0,50.0,0.69,0.34,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Kirsty Smith,RB,25,2.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Claire Emslie,LW,25,2.3,1,0,0,6,3,0,50.0,2.57,1.29,0.17,0.33,0.4,0.4,0.07,#ERROR!,#ERROR!,Matches
Nicola Docherty,LB,26,1.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Leanne Crichton,CMR,31,1.0,0,0,0,1,1,0,100.0,1.00,1.00,0.00,0.00,0.0,0.0,0.03,0.0,0.0,Matches
