,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marta Corredera,LB,27,4.0,0,0,0,6,2,0,33.3,1.50,0.50,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Jennifer Hermoso,FW,29,4.0,3,2,2,15,5,0,33.3,3.75,1.25,0.07,0.20,2.2,0.7,0.05,#ERROR!,#ERROR!,Matches
María León,CBL,23,4.0,0,0,0,1,0,1,0.0,0.25,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
Sandra Paños,GK,26,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Irene Paredes,CBR,27,4.0,0,0,0,2,0,0,0.0,0.50,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Virginia Torrecilla,DM,24,3.9,0,0,0,5,0,0,0.0,1.27,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Alexia Putellas,CMR,25,2.8,0,0,0,7,4,1,57.1,2.50,1.43,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
Mariona Caldentey,LW,23,2.2,0,0,0,6,2,,33.3,2.70,0.90,0.00,0.00,,,,,,Matches
Marta Torrejón,RB,29,2.0,0,0,0,3,1,1,33.3,1.50,0.50,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
Vicky Losada,CML,28,0.9,0,0,0,1,0,0,0.0,1.17,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Amanda Sampedro,RW,25,0.5,0,0,0,1,0,0,0.0,2.00,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
