,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jordan Pickford,GK,24,38.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Gylfi Sigurðsson,AM,28,34.8,13,2,5,81,29,7,35.8,2.33,0.83,0.14,0.38,10.9,6.9,0.09,#ERROR!,#ERROR!,Matches
Michael Keane,CBR,25,33.0,1,0,0,29,9,0,31.0,0.88,0.27,0.03,0.11,2.0,2.0,0.07,-1.0,-1.0,Matches
Lucas Digne,LB,25,32.9,4,0,0,34,10,11,29.4,01.03,0.30,0.12,0.40,1.2,1.2,0.03,#ERROR!,#ERROR!,Matches
Idrissa Gana Gueye,CMR,28,31.4,0,0,0,20,3,0,15.0,0.64,0.10,0.00,0.00,0.7,0.7,0.03,-0.7,-0.7,Matches
Richarlison,RW,21,29.8,13,0,0,87,27,1,31.0,2.92,0.91,0.15,0.48,8.9,8.9,0.10,#ERROR!,#ERROR!,Matches
Séamus Coleman,RB,29,28.4,2,0,0,13,5,0,38.5,0.46,0.18,0.15,0.40,1.2,1.2,0.09,#ERROR!,#ERROR!,Matches
Bernard,LW,25,23.6,1,0,0,24,5,0,20.8,01.02,0.21,0.04,0.20,2.8,2.8,0.11,-1.8,-1.8,Matches
Theo Walcott,FW,29,23.6,5,0,0,43,21,0,48.8,1.82,0.89,0.12,0.24,5.9,5.9,0.14,-0.9,-0.9,Matches
André Gomes,CML,25,22.1,1,0,0,22,5,0,22.7,1.00,0.23,0.05,0.20,1.5,1.5,0.08,-0.5,-0.5,Matches
Yerry Mina,CBL,23,9.9,1,0,0,4,1,0,25.0,0.40,0.10,0.25,1.00,0.4,0.4,0.09,#ERROR!,#ERROR!,Matches
