,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Sarah Bouhaddi,GK,32,5.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Amandine Henry,CMR,29,5.3,2,0,0,16,4,0,25,3,0.75,0.13,0.5,0.8,0.8,0.05,#ERROR!,#ERROR!,Matches
Griedge Mbock Bathy,CBR,24,5.3,0,0,0,1,0,0,0,0.19,0,0,,0.1,0.1,0.07,-0.1,-0.1,Matches
Wendie Renard,CBL,28,5.3,4,1,1,5,3,0,60,0.94,0.56,0.6,1,1.5,0.7,0.14,#ERROR!,#ERROR!,Matches
Amel Majri,LB,26,5.1,0,0,0,7,1,0,14.3,1.36,0.19,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Kadidiatou Diani,FWR,24,4.6,0,0,0,12,2,0,16.7,2.59,0.43,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Eugénie Le Sommer,LW,30,4.6,2,1,1,16,6,0,37.5,3.51,1.32,0.06,0.17,1.9,1.1,0.07,#ERROR!,-0.1,Matches
Élise Bussaglia,CML,33,4.3,0,0,0,5,0,0,0,1.15,0,0,,0.2,0.2,0.03,-0.2,-0.2,Matches
Gaëtane Thiney,FWL,33,4.3,0,0,0,7,0,0,0,1.63,0,0,,0.6,0.6,0.09,-0.6,-0.6,Matches
Marion Torrent,LR,27,4.2,0,0,0,2,0,0,0,0.47,0,0,,0,0,0.01,0,0,Matches
Delphine Cascarino,RW,22,2,0,0,0,4,1,0,25,1.99,0.5,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
