,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Aleksandar Mitrović,FW,23,36.5,11,1,1,122,42,2,34.4,3.35,1.15,0.08,0.24,14.5,13.7,0.11,-3.5,-3.7,Matches
Sergio Rico,GK,24,29.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Calum Chambers,CMR,23,28.7,2,0,0,35,12,0,34.3,1.22,0.42,0.06,0.17,2.2,2.2,0.06,-0.2,-0.2,Matches
Joe Bryan,LB,24,26.1,0,0,0,21,7,0,33.3,0.80,0.27,0.00,0.00,0.7,0.7,0.03,-0.7,-0.7,Matches
Ryan Sessegnon,RW,18,25.5,2,0,0,28,10,0,35.7,1.10,0.39,0.07,0.20,3.3,3.3,0.12,-1.3,-1.3,Matches
Maxime Le Marchand,CBR,28,25.0,0,0,0,4,0,0,0.0,0.16,0.00,0.00,,0.2,0.2,0.05,-0.2,-0.2,Matches
Tim Ream,CBL,30,22.8,0,0,0,1,0,0,0.0,0.04,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Tom Cairney,AM,27,24.4,1,0,0,24,5,0,20.8,0.98,0.20,0.04,0.20,1.0,1.0,0.04,0.0,0.0,Matches
Andre-Frank Zambo Anguissa,CML,22,16.9,0,0,0,20,5,0,25.0,1.19,0.30,0.00,0.00,0.8,0.8,0.04,-0.8,-0.8,Matches
Ryan Babel,LW,31,14.0,5,0,0,25,9,0,36.0,1.79,0.64,0.20,0.56,4.7,4.7,0.19,#ERROR!,#ERROR!,Matches
Timothy Fosu-Mensah,RB,20,8.8,0,0,0,4,1,0,25.0,0.45,0.11,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
