,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Christopher Schindler,CBR,28,36.2,1,0,0,14,3,0,21.4,0.39,0.08,0.07,0.33,1.3,1.3,0.1,-0.3,-0.3,Matches
Terence Kongolo,CBL,24,30.2,1,0,0,14,4,0,28.6,0.46,0.13,0.07,0.25,1.1,1.1,0.08,-0.1,-0.1,Matches
Jonas Lössl,GK,29,30.9,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
Jonathan Hogg,CMR,29,26.4,0,0,0,8,1,0,12.5,0.3,0.04,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Alex Pritchard,FW,25,23.2,2,0,0,48,14,1,29.2,2.07,0.6,0.04,0.14,3.5,3.5,0.07,-1.5,-1.5,Matches
Philip Billing,CML,22,24.3,2,0,0,43,9,3,20.9,1.77,0.37,0.05,0.22,2,2,0.05,0,0,Matches
Erik Durm,LB,26,22.8,0,0,0,8,0,0,0,0.35,0,0,,0.3,0.3,0.04,-0.3,-0.3,Matches
Steve Mounié,LW,23,19.7,2,0,0,63,24,0,38.1,3.19,1.22,0.03,0.08,5.4,5.4,0.09,-3.4,-3.4,Matches
Karlan Grant,RW,20,9.7,3,0,0,21,10,0,47.6,2.16,1.03,0.14,0.3,2.8,2.8,0.13,#ERROR!,#ERROR!,Matches
Jon Gorenc Stanković,DM,22,8,1,0,0,9,2,0,22.2,1.13,0.25,0.11,0.5,1.1,1.1,0.12,-0.1,-0.1,Matches
Demeaco Duhaney,RB,19,0.5,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
