,,,,Standard,,,,,,,,,,,Expected,,,,,
Player,Pos,Age,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Lucy Bronze,RB,27,7.0,1,0,0,5,3,0,60.0,0.71,0.43,0.20,0.33,0.3,0.3,0.06,#ERROR!,#ERROR!,Matches
Steph Houghton,CBR,31,7.0,1,0,1,4,1,1,25.0,0.57,0.14,0.25,1.00,1.1,0.4,0.09,-0.1,#ERROR!,Matches
Jill Scott,CMR,32,6.9,1,0,0,13,3,0,23.1,1.89,0.44,0.08,0.33,1.1,1.1,0.09,-0.1,-0.1,Matches
Nikita Parris,RW,25,5.8,1,1,3,7,2,0,28.6,1.21,0.35,0.00,0.00,2.7,0.5,0.06,-1.7,-0.5,Matches
Ellen White,FW,30,5.7,6,0,0,18,11,0,61.1,3.15,1.93,0.33,0.55,4.2,4.2,0.23,#ERROR!,#ERROR!,Matches
Fran Kirby,CML,25,5.1,1,0,0,4,1,0,25.0,0.79,0.20,0.25,1.00,0.2,0.2,0.06,#ERROR!,#ERROR!,Matches
Keira Walsh,DM,22,4.6,0,0,0,3,1,0,33.3,0.65,0.22,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
Millie Bright,CBL,25,4.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Karen Bardsley,GK,34,4.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Alex Greenwood,LB,25,4.0,1,0,0,3,1,0,33.3,0.75,0.25,0.33,1.00,0.2,0.2,0.06,#ERROR!,#ERROR!,Matches
Beth Mead,LW,24,3.3,0,0,0,3,2,0,66.7,0.91,0.61,0.00,0.00,0.5,0.5,0.15,-0.5,-0.5,Matches
